Age(ka)	delta18O
4.5	14.55
5.2	14.61
5.8	14.59
6.5	14.59
7.2	14.57
9.5	14.64
12	14.62
14.5	14.68
16.9	14.69
17.8	14.57
18.3	14.27
18.9	14.09
19.4	14.05
20	14.02
20.5	13.98
21	14.01
21.5	13.95
22	13.97
22.5	13.97
23.1	13.93
23.6	13.88
24.1	13.88
24.5	13.82
24.6	13.83
24.7	13.84
25.1	13.81
25.6	13.73
26	13.69
26.4	13.64
26.8	13.66
27.3	13.6
27.7	13.57
28.1	13.67
28.6	13.62
29	13.61
29.4	13.66
29.8	13.55
30.3	13.68
30.7	13.64
31.1	13.58
31.5	13.62
31.8	13.61
32.2	13.53
32.6	13.54
32.9	13.64
33.3	13.56
33.6	13.72
34	13.73
34.4	13.77
34.7	13.78
35.1	13.77
35.5	13.74
35.8	13.75
36.2	13.8
36.6	13.78
36.9	13.8
37.3	13.77
37.6	13.76
38	13.78
38.4	13.79
38.7	13.7
39.1	13.74
39.5	13.79
39.8	13.75
40.3	13.78
40.7	13.79
41.1	13.84
41.5	13.85
41.9	13.93
42.3	13.89
42.7	13.8
43.1	13.93
43.6	13.86
44	13.84
44.4	13.83
44.8	13.86
45.2	13.88
45.6	13.92
46	13.93
46.4	13.88
46.8	13.91
47.3	13.89
47.7	13.87
48.5	13.86
48.9	14
49.3	13.98
49.7	14.01
50.1	13.97
50.6	13.99
51	13.97
51.4	13.97
51.8	13.98
52.2	13.96
52.6	13.89
53	13.93
53.4	13.91
53.8	13.89
54.3	13.89
54.7	13.8
55.1	13.82
55.5	13.77
55.9	13.7
56.3	13.82
56.6	13.75
56.9	13.71
57.2	13.73
57.6	13.71
57.9	13.72
58.2	13.71
58.5	13.68
58.9	13.63
59.2	13.56
59.5	13.62
59.8	13.51
59.8	13.85
60.1	13.52
60.5	13.51
60.8	13.51
61.1	13.44
61.4	13.41
61.5	13.7
61.8	13.41
62.1	13.4
62.4	13.39
62.7	13.38
63.1	13.35
63.3	13.65
63.4	13.41
63.7	13.48
64	13.57
64.3	13.56
64.7	13.56
65	13.62
65	13.55
65.3	13.62
65.6	13.63
66	13.64
66.3	13.73
66.6	13.75
66.7	13.55
67	13.75
67.3	13.77
67.7	13.76
68	13.77
68.4	13.77
68.4	13.75
68.7	13.87
69.1	13.84
69.4	13.81
69.8	13.91
70.1	13.88
70.1	13.85
70.5	13.91
70.8	13.96
71.8	13.9
73.6	14.05
75.3	14.15
77	14.1
78.7	14.35
80.4	14.7
82.4	14.25
84.4	14.35
86.4	14.2
88.4	14
90.3	14.1
92.3	14.25
94.3	14.1
96.3	14.35
98.3	14.45
100.3	14.45
