"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
854.7912,-996.9009,0.85925,-0.21481,-0.21481,1.2396,1.0188,0.00015525,-5,0.00015238,8.7369e-05,0.0024032,0.13467,1.7511,0.34697,58.1268,42.0261,-5,0,0.55,0.76071,0.72301,0.085111,0.18423,0.085111,1.8636,0.43619,
356.3408,-996.9009,2.4505,-0.82745,-1.0423,2.8356,1.0188,0.00015525,-4.5,,8.7369e-05,,,,,,,-4.5,0,,,,1.5997,1.9024,0.18423,1.6527,0.26544,
148.6674,-415.3466,2.3953,-1.2115,-2.2537,9.5232,3.0897,0.00047082,-4,,0.0002912,,,,,,,-4,0,,,,0.25744,0.43651,0.17249,1.5997,0.29703,
62.1429,-173.0491,2.3189,-1.1786,-3.4323,30.9479,10.1178,0.0015418,-3.5,,0.0010509,,,,,,,-3.5,0,,,,,,0.10181,1.9024,0.39608,
26.0935,-72.0988,2.2079,-1.1317,-4.564,95.9679,31.7289,0.004835,-3,,0.0036193,,,,,,,-3,0,,,,,,0.1836,1.6703,0.25744,
11.0739,-30.0391,2.0396,-1.0619,-5.6259,277.5204,93.3721,0.014228,-2.5,,0.010508,,,,,,,-2.5,0.0010983,,,,,,0.088712,1.8327,0.43651,
4.8162,-12.5154,1.7829,-0.95563,-6.5815,721.6419,249.7906,0.038064,-2,,0.011375,,,,,,,-2,0.021966,,,,,,,,,
2.209,-5.2144,1.4345,-0.80435,-7.3859,1613.0526,583.6736,0.088943,-1.5,,-0.016122,,,,,,,-1.5,0.098298,,,,,,,,,
1.1228,-2.1725,1.416,-0.71262,-8.0985,3289.5465,1225.6498,0.18677,-1,,-0.029147,,,,,,,-1,0.21636,,,,,,,,,
0.6702,-0.90515,-1.5501,0.033537,-8.065,3181.0536,1617.65,0.2465,-0.5,,0.013388,,,,,,,-0.5,0.23558,,,,,,,,,
0.48164,-0.37712,-1.1738,0.68098,-7.384,1609.9978,1197.7629,0.18252,0,,-0.0046838,,,,,,,0,0.17792,,,,,,,,,
0.40308,-0.15712,-1.2019,0.59393,-6.7901,888.9614,624.7398,0.0952,0.5,,-0.018756,,,,,,,0.5,0.10434,,,,,,,,,
0.37035,-0.065463,-1.1204,0.58058,-6.2095,497.4411,346.6006,0.052816,1,,-0.012882,,,,,,,1,0.0648,,,,,,,,,
0.35671,-0.027274,-0.98996,0.52758,-5.6819,293.5058,197.7367,0.030132,1.5,,-0.0039946,,,,,,,1.5,0.037891,,,,,,,,,
0.35103,-0.011364,-0.86013,0.46252,-5.2194,184.8185,119.5811,0.018222,2,,0.004389,,,,,,,2,0.01922,,,,,,,,,
0.34866,-0.0047345,-0.74836,0.40212,-4.8173,123.6248,77.1108,0.01175,2.5,,0.0074786,,,,,,,2.5,0.0098847,,,,,,,,,
0.34768,-0.0019726,-0.65681,0.35129,-4.466,87.0045,52.6573,0.0080241,3,,0.007296,,,,,,,3,0.0060406,,,,,,,,,
0.34727,-0.00082185,-0.58274,0.30989,-4.1561,63.8204,37.7062,0.0057458,3.5,,0.0078538,,,,,,,3.5,0.0027457,,,,,,,,,
0.34709,-0.00034241,-0.52257,0.27633,-3.8797,48.4119,28.0581,0.0042756,4,,0.007556,,,,,,,4,0.0010983,,,,,,,,,
0.34702,-0.00014266,-0.47317,0.24894,-3.6308,37.7434,21.5388,0.0032822,4.5,,0.0044741,,,,,,,4.5,0.0027457,,,,,,,,,
0.34699,-5.9438e-05,-0.4321,0.22632,-3.4045,30.099,16.9606,0.0025845,5,,0.0061295,,,,,,,5,0,,,,,,,,,
0.34698,-2.4764e-05,-0.39749,0.2074,-3.1971,24.4614,13.6401,0.0020785,5.5,,,,,,,,,,,,,,,,,,,
0.34698,-1.0318e-05,-0.36797,0.19136,-3.0057,20.201,11.1656,0.0017015,6,,,,,,,,,,,,,,,,,,,

