"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
3507.5298,-4461.0048,0.82764,-0.20691,-0.20691,1.2299,1.1063,5.4132e-05,-5,4.8932e-05,2.9623e-05,0.0023419,0.14322,2.0212,0.43358,51.3523,34.5558,-5,0,0.35,0.52012,0.67292,0.10403,0.18241,0.10403,2.1235,0.50921,
1277.0273,-4461.0048,2.9913,-0.95473,-1.1616,3.1952,1.1063,5.4132e-05,-4.5,,2.9623e-05,,,,,,,-4.5,0,,,,1.8952,2.1471,0.18241,1.9342,0.36248,
465.1176,-1623.8194,2.9146,-1.4765,-2.6381,13.9868,4.2955,0.00021019,-4,,0.00012687,,,,,,,-4,0,,,,0.35689,0.51026,0.17647,1.8952,0.38696,
169.58,-591.0752,2.8095,-1.431,-4.0691,58.5056,18.1231,0.0008868,-3.5,,0.00059121,,,,,,,-3.5,0,,,,,,0.11533,2.1471,0.47649,
62.0034,-215.1532,2.6572,-1.3667,-5.4358,229.4711,71.9942,0.0035228,-3,,0.0025896,,,,,,,-3,0,,,,,,0.18064,1.9546,0.35689,
22.8452,-78.3164,2.4219,-1.2698,-6.7055,816.9225,261.5984,0.012801,-2.5,,0.010329,,,,,,,-2.5,0,,,,,,0.1071,2.0932,0.51026,
8.5915,-28.5074,2.038,-1.115,-7.8205,2491.1942,827.0292,0.040468,-2,,0.020123,,,,,,,-2,0.015363,,,,,,,,,
3.4031,-10.3768,1.4077,-0.86143,-8.6819,5895.5241,2096.6796,0.10259,-1.5,,-0.028856,,,,,,,-1.5,0.125,,,,,,,,,
1.5145,-3.7772,0.49721,-0.47624,-9.1582,9491.8281,3846.8381,0.18823,-1,,-0.014695,,,,,,,-1,0.20391,,,,,,,,,
0.82703,-1.3749,-0.66296,0.041439,-9.1167,9106.5355,4649.5909,0.22751,-0.5,,0.00861,,,,,,,-0.5,0.21997,,,,,,,,,
0.5768,-0.50047,-1.2287,0.4729,-8.6438,5675.104,3695.4099,0.18082,0,,-0.010482,,,,,,,0,0.18017,,,,,,,,,
0.48571,-0.18217,-1.3606,0.6473,-7.9965,2970.6644,2161.4421,0.10576,0.5,,-0.017199,,,,,,,0.5,0.11383,,,,,,,,,
0.45255,-0.066311,-1.2437,0.65107,-7.3455,1549.1681,1129.9581,0.055291,1,,-0.0093813,,,,,,,1,0.065642,,,,,,,,,
0.44049,-0.024138,-1.0691,0.5782,-6.7673,868.9364,604.5261,0.029581,1.5,,0.0018399,,,,,,,1.5,0.032821,,,,,,,,,
0.43609,-0.0087861,-0.90997,0.49477,-6.2725,529.8013,349.6844,0.017111,2,,0.0027421,,,,,,,2,0.020251,,,,,,,,,
0.43449,-0.0031982,-0.7813,0.42282,-5.8497,347.1255,219.2317,0.010727,2.5,,0.0072012,,,,,,,2.5,0.0090782,,,,,,,,,
0.43391,-0.0011641,-0.68023,0.36538,-5.4843,240.8815,147.0018,0.0071931,3,,0.0065461,,,,,,,3,0.0055866,,,,,,,,,
0.4337,-0.00042375,-0.60063,0.32021,-5.1641,174.8785,103.94,0.005086,3.5,,0.0045187,,,,,,,3.5,0.0048883,,,,,,,,,
0.43362,-0.00015425,-0.53705,0.28442,-4.8797,131.5877,76.6165,0.003749,4,,0.0040293,,,,,,,4,0.0034916,,,,,,,,,
0.43359,-5.6147e-05,-0.48538,0.25561,-4.6241,101.9076,58.3738,0.0028563,4.5,,0.0061607,,,,,,,4.5,0,,,,,,,,,
0.43358,-2.0438e-05,-0.44269,0.23202,-4.392,80.8057,45.6783,0.0022351,5,,0.0051462,,,,,,,5,0,,,,,,,,,
0.43358,-7.4393e-06,-0.40687,0.21239,-4.1797,65.3435,36.5373,0.0017878,5.5,,,,,,,,,,,,,,,,,,,
0.43358,-2.7079e-06,-0.37639,0.19581,-3.9838,53.7231,29.7666,0.0014565,6,,,,,,,,,,,,,,,,,,,

