"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
4408.0021,-5715.246,0.81661,-0.20415,-0.20415,1.2265,1.1318,4.3524e-05,-5,3.8457e-05,2.7061e-05,0.0043151,0.12745,2.0902,0.45651,51.8128,37.2669,-5,0,0.35,0.48661,0.71926,0.079854,0.17504,0.079854,2.1768,0.55478,
1550.3791,-5715.246,3.1432,-0.98994,-1.1941,3.3006,1.1318,4.3524e-05,-4.5,,2.7061e-05,,,,,,,-4.5,0,,,,1.9443,2.2362,0.17504,2.0034,0.36662,
545.49,-2009.7782,3.0591,-1.5506,-2.7447,15.5593,4.715,0.00018132,-4,,0.00012158,,,,,,,-4,0,,,,0.35626,0.55675,0.15761,1.9443,0.41967,
192.1187,-706.7427,2.9435,-1.5007,-4.2453,69.7774,21.3342,0.00082045,-3.5,,0.00059333,,,,,,,-3.5,0,,,,,,0.099575,2.2362,0.49845,
67.8549,-248.5275,2.7749,-1.4296,-5.6749,291.4605,90.3095,0.003473,-3,,0.002702,,,,,,,-3,0,,,,,,0.17289,2.03,0.35626,
24.1573,-87.3952,2.5115,-1.3216,-6.9965,1092.7989,346.0648,0.013309,-2.5,,0.011067,,,,,,,-2.5,0,,,,,,0.083251,2.144,0.55675,
8.7909,-30.7327,2.0739,-1.1464,-8.1429,3438.706,1132.8762,0.043567,-2,,0.024471,,,,,,,-2,0.013728,,,,,,,,,
3.3873,-10.8072,1.3354,-0.85233,-8.9952,8064.093,2875.6998,0.11059,-1.5,,-0.026019,,,,,,,-1.5,0.12672,,,,,,,,,
1.4871,-3.8004,0.1577,-0.37327,-9.3684,11712.9214,4944.2536,0.19014,-1,,-0.03462,,,,,,,-1,0.22386,,,,,,,,,
0.81893,-1.3364,-0.44041,0.070678,-9.2978,10913.6497,5656.6428,0.21754,-0.5,,0.01645,,,,,,,-0.5,0.2038,,,,,,,,,
0.58396,-0.46995,-1.2308,0.41781,-8.88,7186.51,4525.0399,0.17402,0,,-0.0045243,,,,,,,0,0.16473,,,,,,,,,
0.50133,-0.16526,-1.3469,0.64443,-8.2355,3772.6242,2739.7836,0.10536,0.5,,-0.027914,,,,,,,0.5,0.11985,,,,,,,,,
0.47227,-0.058114,-1.2126,0.63988,-7.5956,1989.5075,1440.5329,0.055399,1,,-0.01205,,,,,,,1,0.067582,,,,,,,,,
0.46205,-0.020436,-1.0339,0.56162,-7.034,1134.5799,781.0219,0.030036,1.5,,-0.005732,,,,,,,1.5,0.041711,,,,,,,,,
0.45846,-0.0071863,-0.87702,0.47772,-6.5563,703.6595,459.5598,0.017673,2,,0.0081634,,,,,,,2,0.016895,,,,,,,,,
0.45719,-0.0025271,-0.75236,0.40734,-6.149,468.2255,292.9712,0.011267,2.5,,0.011652,,,,,,,2.5,0.0068638,,,,,,,,,
0.45675,-0.00088865,-0.65523,0.3519,-5.7971,329.327,199.3881,0.0076679,3,,0.0085076,,,,,,,3,0.0058078,,,,,,,,,
0.45659,-0.0003125,-0.57898,0.30855,-5.4885,241.8936,142.8052,0.0054919,3.5,,0.0051204,,,,,,,3.5,0.0063358,,,,,,,,,
0.45654,-0.00010989,-0.51812,0.27428,-5.2142,183.8687,106.4406,0.0040934,4,,0.007832,,,,,,,4,0.0015839,,,,,,,,,
0.45652,-3.8643e-05,-0.46866,0.2467,-4.9675,143.671,81.8849,0.0031491,4.5,,0.007376,,,,,,,4.5,0.00052798,,,,,,,,,
0.45651,-1.3589e-05,-0.42775,0.2241,-4.7434,114.8269,64.6245,0.0024853,5,,0.0067487,,,,,,,5,0,,,,,,,,,
0.45651,-4.7786e-06,-0.39338,0.20528,-4.5381,93.5171,52.086,0.0020031,5.5,,,,,,,,,,,,,,,,,,,
0.45651,-1.6804e-06,-0.36411,0.18937,-4.3488,77.3834,42.7251,0.0016431,6,,,,,,,,,,,,,,,,,,,

