"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
3650.7993,-4674.5956,0.83773,-0.20943,-0.20943,1.233,1.1245,5.0023e-05,-5,4.4486e-05,3.4868e-05,0.0064117,0.1324,2.0449,0.40693,37.9652,28.5641,-5,0,0.4,0.53165,0.75237,0.072762,0.19205,0.072762,2.1223,0.53135,
1313.5014,-4674.5956,3.0574,-0.97377,-1.1832,3.2648,1.1245,5.0023e-05,-4.5,,3.4868e-05,,,,,,,-4.5,0,,,,1.873,2.2168,0.19205,1.9555,0.29302,
472.7444,-1681.514,2.979,-1.5091,-2.6923,14.7654,4.5076,0.00020052,-4,,0.00014697,,,,,,,-4,0,,,,0.2807,0.53316,0.15702,1.873,0.3856,
170.313,-604.8629,2.8709,-1.4625,-4.1548,63.737,19.6256,0.00087307,-3.5,,0.00067265,,,,,,,-3.5,0,,,,,,0.10195,2.2168,0.45056,
61.5244,-217.5772,2.7132,-1.396,-5.5508,257.4416,80.2947,0.003572,-3,,0.0028828,,,,,,,-3,0,,,,,,0.18845,1.9867,0.2807,
22.3917,-78.2654,2.4671,-1.2951,-6.8459,939.9784,299.355,0.013317,-2.5,,0.011167,,,,,,,-2.5,0,,,,,,0.07768,2.0821,0.53316,
8.3151,-28.1531,2.0595,-1.1316,-7.9775,2914.6037,963.6455,0.042869,-2,,0.032638,,,,,,,-2,0.0041322,,,,,,,,,
3.2516,-10.127,1.3723,-0.85794,-8.8354,6873.5135,2447.0293,0.10886,-1.5,,-0.033145,,,,,,,-1.5,0.12758,,,,,,,,,
1.4302,-3.6428,0.26222,-0.40863,-9.2441,10342.9791,4304.1232,0.19147,-1,,-0.046523,,,,,,,-1,0.23244,,,,,,,,,
0.77502,-1.3104,-0.47277,0.052637,-9.1914,9812.6352,5038.9036,0.22416,-0.5,,0.02692,,,,,,,-0.5,0.1999,,,,,,,,,
0.53934,-0.47136,-1.2614,0.43353,-8.7579,6360.7124,4043.3369,0.17987,0,,-0.019488,,,,,,,0,0.1844,,,,,,,,,
0.45456,-0.16955,-1.4292,0.67263,-8.0853,3246.2925,2401.7512,0.10684,0.5,,-0.012504,,,,,,,0.5,0.10382,,,,,,,,,
0.42407,-0.060991,-1.3139,0.68577,-7.3995,1635.1586,1220.3628,0.054289,1,,-0.011976,,,,,,,1,0.067149,,,,,,,,,
0.4131,-0.021939,-1.1333,0.61182,-6.7877,886.8491,630.5019,0.028049,1.5,,-0.0079934,,,,,,,1.5,0.043905,,,,,,,,,
0.40915,-0.0078918,-0.96758,0.52523,-6.2624,524.499,352.837,0.015696,2,,0.0090881,,,,,,,2,0.016012,,,,,,,,,
0.40773,-0.0028388,-0.83312,0.45017,-5.8123,334.3768,214.7189,0.009552,2.5,,0.0087724,,,,,,,2.5,0.009814,,,,,,,,,
0.40722,-0.0010212,-0.72717,0.39007,-5.4222,226.3759,140.1882,0.0062364,3,,0.010771,,,,,,,3,0.0036157,,,,,,,,,
0.40704,-0.00036732,-0.64347,0.34266,-5.0795,160.6995,96.7688,0.0043049,3.5,,0.0079051,,,,,,,3.5,0.0036157,,,,,,,,,
0.40697,-0.00013213,-0.57641,0.30497,-4.7746,118.4588,69.7896,0.0031047,4,,0.0079223,,,,,,,4,0.0015496,,,,,,,,,
0.40695,-4.7529e-05,-0.52177,0.27454,-4.5,90.019,52.1195,0.0023186,4.5,,0.0069187,,,,,,,4.5,0.0010331,,,,,,,,,
0.40694,-1.7097e-05,-0.4765,0.24957,-4.2505,70.1373,40.0391,0.0017812,5,,0.0057562,,,,,,,5,0.0010331,,,,,,,,,
0.40694,-6.15e-06,-0.43842,0.22873,-4.0217,55.7972,31.4836,0.0014006,5.5,,,,,,,,,,,,,,,,,,,
0.40693,-2.2122e-06,-0.40597,0.2111,-3.8106,45.1788,25.244,0.001123,6,,,,,,,,,,,,,,,,,,,

