"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
2317.5407,-2882.508,0.83193,-0.20798,-0.20798,1.2312,1.0755,8.3127e-05,-5,7.7295e-05,3.9457e-05,0.0063545,0.138,1.9457,0.41026,57.018,40.3377,-5,0,0.4,0.56541,0.70745,0.069631,0.20637,0.069631,2.0901,0.54514,
876.2867,-2882.508,2.8236,-0.91389,-1.1219,3.0706,1.0755,8.3127e-05,-4.5,,3.9457e-05,,,,,,,-4.5,0,,,,1.7464,2.145,0.20637,1.8266,0.28674,
331.492,-1089.5894,2.7514,-1.3938,-2.5156,12.3744,3.8613,0.00029846,-4,,0.0001603,,,,,,,-4,0,,,,0.27529,0.54523,0.19006,1.7464,0.34215,
125.5593,-411.8653,2.6519,-1.3508,-3.8665,47.7732,15.0369,0.0011623,-3.5,,0.00070749,,,,,,,-3.5,0,,,,,,0.095246,2.145,0.47828,
47.7167,-155.6853,2.5074,-1.2898,-5.1563,173.5215,55.3237,0.0042763,-3,,0.0029371,,,,,,,-3,0,,,,,,0.20396,1.8541,0.27529,
18.2921,-58.8491,2.2845,-1.198,-6.3543,574.9405,187.1155,0.014463,-2.5,,0.011091,,,,,,,-2.5,0,,,,,,0.075322,2.0405,0.54523,
7.1696,-22.245,1.9252,-1.0524,-7.4067,1646.9512,555.4729,0.042936,-2,,0.03349,,,,,,,-2,0.0024969,,,,,,,,,
2.9653,-8.4086,1.3567,-0.82046,-8.2271,3741.129,1347.02,0.10412,-1.5,,-0.036236,,,,,,,-1.5,0.12921,,,,,,,,,
1.3761,-3.1785,0.65758,-0.50356,-8.7307,6190.0678,2482.7992,0.19191,-1,,-0.038363,,,,,,,-1,0.23034,,,,,,,,,
0.77534,-1.2015,-0.92074,0.06579,-8.6649,5795.9305,2996.4996,0.23162,-0.5,,0.02538,,,,,,,-0.5,0.20849,,,,,,,,,
0.54826,-0.45415,-1.2315,0.53807,-8.1268,3384.1031,2295.0084,0.17739,0,,-0.017466,,,,,,,0,0.17728,,,,,,,,,
0.46243,-0.17167,-1.3316,0.64077,-7.4861,1783.033,1291.784,0.099849,0.5,,-0.027446,,,,,,,0.5,0.11111,,,,,,,,,
0.42998,-0.064891,-1.2223,0.63846,-6.8476,941.628,681.1652,0.052651,1,,-0.010348,,,,,,,1,0.062422,,,,,,,,,
0.41772,-0.024529,-1.0581,0.57011,-6.2775,532.4583,368.5216,0.028485,1.5,,0.0051483,,,,,,,1.5,0.029963,,,,,,,,,
0.41308,-0.009272,-0.90572,0.49097,-5.7865,325.8832,214.5854,0.016586,2,,-0.0021321,,,,,,,2,0.027466,,,,,,,,,
0.41133,-0.0035048,-0.78064,0.42159,-5.365,213.7806,134.9159,0.010428,2.5,,0.0086697,,,,,,,2.5,0.010612,,,,,,,,,
0.41066,-0.0013248,-0.68138,0.3655,-4.9994,148.331,90.5279,0.0069974,3,,0.010915,,,,,,,3,0.0043695,,,,,,,,,
0.41041,-0.00050078,-0.60265,0.32101,-4.6784,107.602,63.9833,0.0049456,3.5,,0.0093775,,,,,,,3.5,0.0031211,,,,,,,,,
0.41032,-0.0001893,-0.53948,0.28553,-4.3929,80.8752,47.1193,0.0036421,4,,0.0085966,,,,,,,4,0.0018727,,,,,,,,,
0.41028,-7.1554e-05,-0.488,0.25687,-4.136,62.5544,35.8574,0.0027716,4.5,,0.0076896,,,,,,,4.5,0.0012484,,,,,,,,,
0.41027,-2.7047e-05,-0.44536,0.23334,-3.9027,49.5359,28.0226,0.002166,5,,0.007749,,,,,,,5,0,,,,,,,,,
0.41027,-1.0224e-05,-0.40954,0.21372,-3.689,40.0037,22.3849,0.0017303,5.5,,,,,,,,,,,,,,,,,,,
0.41026,-3.8646e-06,-0.37902,0.19714,-3.4918,32.8461,18.2125,0.0014077,6,,,,,,,,,,,,,,,,,,,

