"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
127.735,-120.5644,0.77851,-0.19463,-0.19463,1.2149,0.85439,0.0010785,-5,0.0012623,0.00043261,0.0053886,0.21291,1.2791,0.14796,57.6246,39.3817,-5,0,0.95,1.3901,0.68342,0.10783,0.318,0.10783,1.5304,0.28831,
67.4528,-120.5644,1.6017,-0.59505,-0.78968,2.2027,0.85439,0.0010785,-4.5,,0.00043261,,,,,,,-4.5,0,,,,1.0278,1.5305,0.318,1.1059,0.018759,
35.6527,-63.6002,1.5731,-0.79369,-1.5834,4.8713,1.7685,0.0022324,-4,,0.0010429,,,,,,,-4,0,,,,0.007599,0.28831,0.31798,1.0278,0.035725,
18.8774,-33.5505,1.5354,-0.77711,-2.3605,10.5961,3.8669,0.0048811,-3.5,,0.0026816,,,,,,,-3.5,0,,,,,,0.13359,1.5305,0.2489,
10.0281,-17.6986,1.4853,-0.75518,-3.1157,22.5483,8.2861,0.01046,-3,,0.0067168,,,,,,,-3,0,,,,,,0.31781,1.1224,0.007599,
5.36,-9.3364,1.4197,-0.72626,-3.8419,46.6152,17.2909,0.021826,-2.5,,0.016199,,,,,,,-2.5,0,,,,,,0.12101,1.4492,0.28831,
2.8974,-4.9251,1.342,-0.69044,-4.5324,92.9785,34.8984,0.044052,-2,,0.020165,,,,,,,-2,0.016901,,,,,,,,,
1.5983,-2.5981,1.2957,-0.65943,-5.1918,179.7918,68.1926,0.086079,-1.5,,-0.055253,,,,,,,-1.5,0.13521,,,,,,,,,
0.91307,-1.3706,1.7174,-0.75328,-5.9451,381.8679,140.4149,0.17725,-1,,-0.011338,,,,,,,-1,0.19155,,,,,,,,,
0.55157,-0.723,-1.8779,0.040131,-5.9049,366.8466,187.1786,0.23627,-0.5,,0.011376,,,,,,,-0.5,0.22676,,,,,,,,,
0.36087,-0.3814,-0.80741,0.67133,-5.2336,187.4684,138.5787,0.17493,0,,-0.0093373,,,,,,,0,0.17113,,,,,,,,,
0.26027,-0.20119,-0.95468,0.44052,-4.7931,120.6732,77.0354,0.097241,0.5,,-0.025577,,,,,,,0.5,0.10775,,,,,,,,,
0.20721,-0.10613,-1.1228,0.51938,-4.2737,71.7874,48.1152,0.060736,1,,-0.0098564,,,,,,,1,0.064789,,,,,,,,,
0.17921,-0.055988,-1.1966,0.57985,-3.6939,40.1995,27.9967,0.03534,1.5,,-0.0055885,,,,,,,1.5,0.043662,,,,,,,,,
0.16444,-0.029535,-1.1826,0.59479,-3.0991,22.1772,15.5942,0.019684,2,,0.0089427,,,,,,,2,0.01831,,,,,,,,,
0.15665,-0.01558,-1.1171,0.57492,-2.5241,12.4803,8.6644,0.010937,2.5,,0.0068202,,,,,,,2.5,0.01338,,,,,,,,,
0.15254,-0.0082189,-1.0311,0.53706,-1.9871,7.2943,4.9436,0.0062403,3,,0.0091461,,,,,,,3,0.006338,,,,,,,,,
0.15038,-0.0043357,-0.94274,0.49347,-1.4936,4.4532,2.9369,0.0037072,3.5,,0.0087058,,,,,,,3.5,0.0035211,,,,,,,,,
0.14923,-0.0022871,-0.86035,0.45077,-1.0429,2.8373,1.8226,0.0023007,4,,0.0091982,,,,,,,4,0.00070423,,,,,,,,,
0.14863,-0.0012065,-0.78687,0.4118,-0.63105,1.8796,1.1792,0.0014885,4.5,,0.0081919,,,,,,,4.5,0,,,,,,,,,
0.14831,-0.00063646,-0.72258,0.37736,-0.25369,1.2888,0.79209,0.00099985,5,,0.0068984,,,,,,,5,0,,,,,,,,,
0.14814,-0.00033575,-0.66672,0.34732,0.09364,0.91061,0.54984,0.00069407,5.5,,,,,,,,,,,,,,,,,,,
0.14806,-0.00017711,-0.61818,0.32122,0.41486,0.66043,0.39276,0.00049578,6,,,,,,,,,,,,,,,,,,,

