"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
227.7973,-219.4754,0.82337,-0.20584,-0.20584,1.2286,0.88455,0.00074625,-5,0.00084365,0.00032739,0.0037745,0.31795,1.3148,0.036589,51.3685,30.2862,-5,0,0.95,1.6113,0.58959,0.23408,0.40181,0.23408,1.5018,0.13241,
118.0596,-219.4754,1.7017,-0.63126,-0.8371,2.3097,0.88455,0.00074625,-4.5,,0.00032739,,,,,,,-4.5,0,,,,1.1277,1.5019,0.40181,1.1991,-0.011002,
61.1948,-113.7297,1.6795,-0.84528,-1.6824,5.3784,1.922,0.0016215,-4,,0.00080509,,,,,,,-4,0,,,,-0.059247,0.13242,0.386,1.1277,-0.013074,
31.7281,-58.9334,1.6509,-0.8326,-2.515,12.3665,4.4362,0.0037426,-3.5,,0.0021216,,,,,,,-3.5,0,,,,,,0.24771,1.5019,0.11005,
16.4588,-30.5386,1.6136,-0.81614,-3.3311,27.9699,10.0841,0.0085074,-3,,0.005494,,,,,,,-3,0,,,,,,0.23408,1.5019,-0.059247,
8.5464,-15.8248,1.5648,-0.79461,-4.1257,61.9133,22.4708,0.018957,-2.5,,0.013888,,,,,,,-2.5,0,,,,,,0.24544,1.45,0.13242,
4.4463,-8.2002,1.5032,-0.76701,-4.8927,133.3184,48.8079,0.041177,-2,,0.010008,,,,,,,-2,0.023941,,,,,,,,,
2.3216,-4.2493,1.4422,-0.73637,-5.6291,278.4129,102.9328,0.086839,-1.5,,-0.049456,,,,,,,-1.5,0.12891,,,,,,,,,
1.2207,-2.2019,1.5305,-0.74318,-6.3723,585.3933,215.9516,0.18219,-1,,0.0038732,,,,,,,-1,0.17753,,,,,,,,,
0.65017,-1.141,-1.9725,0.11051,-6.2618,524.1499,277.3858,0.23402,-0.5,,0.012597,,,,,,,-0.5,0.22284,,,,,,,,,
0.35454,-0.59126,-0.2487,0.5553,-5.7065,300.8084,206.2396,0.17399,0,,-0.020838,,,,,,,0,0.18785,,,,,,,,,
0.20135,-0.30638,-0.73764,0.24659,-5.4599,235.0708,133.9698,0.11302,0.5,,-0.012638,,,,,,,0.5,0.11455,,,,,,,,,
0.12196,-0.15876,-1.509,0.56166,-4.8982,134.0517,92.2806,0.077852,1,,0.0033311,,,,,,,1,0.069982,,,,,,,,,
0.08083,-0.08227,-2.3596,0.96716,-3.9311,50.9612,46.2532,0.039021,1.5,,0.011,,,,,,,1.5,0.034622,,,,,,,,,
0.059514,-0.042631,-3.071,1.3577,-2.5734,13.1105,16.0179,0.013513,2,,0.0041236,,,,,,,2,0.021731,,,,,,,,,
0.048468,-0.022091,-3.4878,1.6397,-0.93373,2.544,3.9136,0.0033017,2.5,,0.0083805,,,,,,,2.5,0.0058932,,,,,,,,,
0.042745,-0.011447,-3.6041,1.773,0.83925,0.43204,0.744,0.00062767,3,,0.0021496,,,,,,,3,0.0058932,,,,,,,,,
0.039779,-0.0059319,-3.5141,1.7796,2.6188,0.07289,0.12623,0.00010649,3.5,,0.0025157,,,,,,,3.5,0.0022099,,,,,,,,,
0.038242,-0.0030738,-3.3204,1.7086,4.3274,0.013201,0.021523,1.8158e-05,4,,-3.6129e-05,,,,,,,4,0.0029466,,,,,,,,,
0.037445,-0.0015928,-3.092,1.6031,5.9305,0.0026571,0.0039646,3.3447e-06,4.5,,0.0011379,,,,,,,4.5,0.00073665,,,,,,,,,
0.037033,-0.00082538,-2.8649,1.4892,7.4197,0.0005993,0.0008141,6.8681e-07,5,,0.000888,,,,,,,5,0.00036832,,,,,,,,,
0.036819,-0.0004277,-2.6545,1.3798,8.7996,0.0001508,0.00018753,1.5821e-07,5.5,,,,,,,,,,,,,,,,,,,
0.036708,-0.00022163,-2.4655,1.28,10.0796,4.1928e-05,4.8181e-05,4.0648e-08,6,,,,,,,,,,,,,,,,,,,

