"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
125.1051,-118.737,0.7745,-0.19363,-0.19363,1.2136,0.85413,0.0010276,-5,0.0012031,0.00038997,0.0061328,0.19829,1.2892,0.15163,58.7309,42.0662,-5,0,0.95,1.3263,0.71625,0.087487,0.3091,0.087487,1.5626,0.30339,
65.7366,-118.737,1.61,-0.59613,-0.78976,2.2029,0.85413,0.0010276,-4.5,,0.00038997,,,,,,,-4.5,0,,,,1.0155,1.5629,0.3091,1.1132,0.012171,
34.5756,-62.3221,1.5795,-0.79739,-1.5871,4.8898,1.7732,0.0021334,-4,,0.00095049,,,,,,,-4,0,,,,-0.00013018,0.30339,0.30908,1.0155,0.029687,
18.2199,-32.7113,1.5394,-0.77973,-2.3669,10.664,3.8884,0.0046783,-3.5,,0.0024706,,,,,,,-3.5,0,,,,,,0.11654,1.5629,0.25899,
9.6352,-17.1694,1.4861,-0.75636,-3.1232,22.7198,8.3459,0.010041,-3,,0.0062391,,,,,,,-3,0,,,,,,0.30908,1.1304,-0.00013018,
5.1293,-9.0118,1.4166,-0.72568,-3.8489,46.9419,17.4154,0.020953,-2.5,,0.015112,,,,,,,-2.5,0,,,,,,0.10095,1.4674,0.30339,
2.7643,-4.7301,1.3363,-0.68823,-4.5371,93.4232,35.0913,0.04222,-2,,0.023581,,,,,,,-2,0.010989,,,,,,,,,
1.523,-2.4827,1.2999,-0.65903,-5.1962,180.5797,68.5007,0.082416,-1.5,,-0.045221,,,,,,,-1.5,0.11978,,,,,,,,,
0.87141,-1.3031,1.8875,-0.79684,-5.993,400.621,145.3002,0.17482,-1,,-0.032771,,,,,,,-1,0.20989,,,,,,,,,
0.52942,-0.68397,-1.807,-0.020129,-6.0131,408.7666,202.3469,0.24345,-0.5,,0.020163,,,,,,,-0.5,0.22637,,,,,,,,,
0.34992,-0.359,-0.92962,0.68416,-5.329,206.2291,153.7489,0.18498,0,,-0.0058632,,,,,,,0,0.17692,,,,,,,,,
0.25571,-0.18843,-1.0674,0.49927,-4.8297,125.1761,82.8513,0.099682,0.5,,-0.029004,,,,,,,0.5,0.11209,,,,,,,,,
0.20626,-0.098902,-1.2111,0.56963,-4.2601,70.8167,48.9982,0.058952,1,,-0.018907,,,,,,,1,0.072527,,,,,,,,,
0.1803,-0.051911,-1.2587,0.61744,-3.6427,38.1932,27.2525,0.032789,1.5,,0.0036849,,,,,,,1.5,0.032967,,,,,,,,,
0.16668,-0.027247,-1.2243,0.62074,-3.0219,20.5307,14.681,0.017663,2,,0.012994,,,,,,,2,0.013187,,,,,,,,,
0.15953,-0.014301,-1.1454,0.59241,-2.4295,11.3533,7.971,0.0095902,2.5,,0.0084855,,,,,,,2.5,0.010989,,,,,,,,,
0.15577,-0.0075063,-1.0513,0.54918,-1.8803,6.5557,4.4772,0.0053868,3,,0.0062213,,,,,,,3,0.0087912,,,,,,,,,
0.1538,-0.0039399,-0.95821,0.50238,-1.3779,3.9667,2.6306,0.003165,3.5,,0.0097305,,,,,,,3.5,0.0021978,,,,,,,,,
0.15277,-0.002068,-0.87302,0.45781,-0.92014,2.5096,1.6191,0.001948,4,,0.0086204,,,,,,,4,0.0010989,,,,,,,,,
0.15223,-0.0010854,-0.79782,0.41771,-0.50243,1.6527,1.0406,0.001252,4.5,,0.0058883,,,,,,,4.5,0.0021978,,,,,,,,,
0.15194,-0.00056971,-0.73242,0.38256,-0.11987,1.1274,0.69502,0.00083621,5,,0.0068447,,,,,,,5,0,,,,,,,,,
0.15179,-0.00029903,-0.67577,0.35205,0.23218,0.79281,0.48004,0.00057756,5.5,,,,,,,,,,,,,,,,,,,
0.15172,-0.00015695,-0.62663,0.3256,0.55778,0.57248,0.34132,0.00041066,6,,,,,,,,,,,,,,,,,,,

