"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
10.7937,-12.5888,0.70932,-0.035466,-0.035466,1.0361,-0.10781,17.7618,-3,17.1429,"0.21561","1.2917","0.40462","0.7","0.895162","0.781981",
9.5348,-12.5888,0.84818,-0.077875,-0.11334,1.12,-0.10781,19.2003,-2.9,,,,,,,,
8.4285,-11.0634,0.82473,-0.083646,-0.19699,1.2177,-0.11689,20.8754,-2.8,,,,,,,,
7.4562,-9.7228,0.79967,-0.08122,-0.27821,1.3208,-0.12692,22.6417,-2.7,,,,,,,,
6.6017,-8.5447,0.77291,-0.078629,-0.35684,1.4288,-0.13748,24.4939,-2.6,,,,,,,,
5.8508,-7.5093,0.74436,-0.075864,-0.4327,1.5414,-0.14851,26.4243,-2.5,,,,,,,,
5.1909,-6.5993,0.71392,-0.072914,-0.50561,1.658,-0.15997,28.423,-2.4,,,,,,,,
4.6109,-5.7997,0.68151,-0.069772,-0.57539,1.7778,-0.17179,30.477,-2.3,,,,,,,,
4.1012,-5.0969,0.64707,-0.066429,-0.64181,1.8999,-0.18389,32.5703,-2.2,,,,,,,,
3.6533,-4.4793,0.61053,-0.06288,-0.7047,2.0232,-0.19616,34.6841,-2.1,,,,,,,,
3.2596,-3.9365,0.57187,-0.05912,-0.76382,2.1464,-0.20848,36.7964,-2,,,,,,,,
2.9137,-3.4595,0.53108,-0.055147,-0.81896,2.2681,-0.22073,38.8827,-1.9,,,,,,,,
2.6096,-3.0403,0.48818,-0.050963,-0.86993,2.3867,-0.23274,40.9156,-1.8,,,,,,,,
2.3425,-2.6719,0.44326,-0.046572,-0.9165,2.5005,-0.24436,42.8662,-1.7,,,,,,,,
2.1076,-2.3481,0.39642,-0.041984,-0.95848,2.6077,-0.25541,44.7042,-1.6,,,,,,,,
1.9013,-2.0636,0.34786,-0.037214,-0.9957,2.7066,-0.26572,46.3992,-1.5,,,,,,,,
1.7199,-1.8136,0.29783,-0.032284,-1.028,2.7954,-0.2751,47.9216,-1.4,,,,,,,,
1.5605,-1.5938,0.2467,-0.027226,-1.0552,2.8726,-0.2834,49.2442,-1.3,,,,,,,,
1.4205,-1.4007,0.195,-0.022085,-1.0773,2.9367,-0.29046,50.3439,-1.2,,,,,,,,
1.2974,-1.231,0.14362,-0.016931,-1.0942,2.9869,-0.29618,51.2035,-1.1,,,,,,,,
1.1892,-1.0818,0.094459,-0.011904,-1.1061,3.0226,-0.30047,51.8166,-1,,,,,,,,
1.0941,-0.95071,0.054564,-0.0074512,-1.1136,3.0452,-0.30339,52.2042,-0.9,,,,,,,,
1.0106,-0.83551,0.17765,-0.011611,-1.1252,3.0808,-0.3063,52.8138,-0.8,,,,,,,,
0.93715,-0.73427,-0.13029,-0.0023681,-1.1276,3.0881,-0.30844,52.9391,-0.7,,,,,,,,
0.87263,-0.64529,-0.15656,0.014342,-1.1132,3.0441,-0.30661,52.1852,-0.6,,,,,,,,
0.81592,-0.5671,-0.19878,0.017767,-1.0954,2.9905,-0.30173,51.2662,-0.5,,,,,,,,
0.76608,-0.49838,-0.24245,0.022061,-1.0734,2.9253,-0.29579,50.1476,-0.4,,,,,,,,
0.72228,-0.43799,-0.2848,0.026362,-1.047,2.8492,-0.28872,48.8429,-0.3,,,,,,,,
0.68379,-0.38492,-0.32475,0.030477,-1.0165,2.7636,-0.28064,47.3768,-0.2,,,,,,,,
0.64996,-0.33828,-0.36173,0.034324,-0.98222,2.6704,-0.2717,45.7782,-0.1,,,,,,,,
0.62023,-0.29729,-0.39541,0.037857,-0.94437,2.5712,-0.26208,44.0776,0,,,,,,,,
0.5941,-0.26126,-0.42559,0.04105,-0.90332,2.4678,-0.25195,42.3049,0.1,,,,,,,,
0.57114,-0.2296,-0.4522,0.043889,-0.85943,2.3618,-0.24148,40.4883,0.2,,,,,,,,
0.55097,-0.20178,-0.47523,0.046371,-0.81306,2.2548,-0.23083,38.6537,0.3,,,,,,,,
0.53323,-0.17733,-0.49476,0.048499,-0.76456,2.148,-0.22014,36.8237,0.4,,,,,,,,
0.51765,-0.15584,-0.51092,0.050284,-0.71427,2.0427,-0.20954,35.0179,0.5,,,,,,,,
0.50395,-0.13696,-0.5239,0.051741,-0.66253,1.9397,-0.19912,33.2521,0.6,,,,,,,,
0.49192,-0.12036,-0.53389,0.052889,-0.60964,1.8398,-0.18897,31.5391,0.7,,,,,,,,
0.48134,-0.10578,-0.54115,0.053752,-0.55589,1.7435,-0.17916,29.8886,0.8,,,,,,,,
0.47204,-0.092961,-0.54591,0.054353,-0.50154,1.6513,-0.16974,28.3074,0.9,,,,,,,,
0.46387,-0.081697,-0.54843,0.054717,-0.44682,1.5633,-0.16073,26.8001,1,,,,,,,,
0.45669,-0.071797,-0.54895,0.054869,-0.39195,1.4799,-0.15216,25.3692,1.1,,,,,,,,
0.45038,-0.063097,-0.54773,0.054834,-0.33712,1.4009,-0.14404,24.0156,1.2,,,,,,,,
0.44484,-0.055452,-0.54498,0.054636,-0.28248,1.3264,-0.13637,22.7387,1.3,,,,,,,,
0.43996,-0.048732,-0.54093,0.054296,-0.22819,1.2563,-0.12914,21.537,1.4,,,,,,,,
0.43568,-0.042827,-0.53578,0.053836,-0.17435,1.1905,-0.12234,20.4082,1.5,,,,,,,,
0.43192,-0.037638,-0.5297,0.053274,-0.12108,1.1287,-0.11596,19.3494,1.6,,,,,,,,
0.42861,-0.033077,-0.52285,0.052628,-0.068448,1.0708,-0.10998,18.3574,1.7,,,,,,,,
0.4257,-0.029069,-0.5154,0.051913,-0.016536,1.0167,-0.10438,17.4288,1.8,,,,,,,,
0.42315,-0.025547,-0.50745,0.051142,0.034607,0.96599,-0.099133,16.5598,1.9,,,,,,,,
0.4209,-0.022451,-0.49914,0.050329,0.084936,0.91857,-0.094228,15.747,2,,,,,,,,
0.41893,-0.019731,-0.49055,0.049484,0.13442,0.87422,-0.08964,14.9867,2.1,,,,,,,,
0.4172,-0.01734,-0.48177,0.048616,0.18304,0.83274,-0.085348,14.2756,2.2,,,,,,,,
0.41567,-0.015239,-0.47288,0.047732,0.23077,0.79392,-0.081333,13.6102,2.3,,,,,,,,
0.41433,-0.013392,-0.46393,0.04684,0.27761,0.75759,-0.077576,12.9874,2.4,,,,,,,,
0.41316,-0.011769,-0.45499,0.045946,0.32355,0.72357,-0.074058,12.4042,2.5,,,,,,,,
0.41212,-0.010343,-0.44609,0.045054,0.36861,0.6917,-0.070763,11.8577,2.6,,,,,,,,
0.41121,-0.0090898,-0.43727,0.044168,0.41278,0.66181,-0.067675,11.3454,2.7,,,,,,,,
0.41041,-0.0079884,-0.42856,0.043291,0.45607,0.63377,-0.064779,10.8647,2.8,,,,,,,,
0.40971,-0.0070204,-0.41999,0.042427,0.49849,0.60744,-0.062061,10.4134,2.9,,,,,,,,
0.40909,-0.0061697,-0.41157,0.041578,0.54007,0.58271,-0.059508,9.9893,3,,,,,,,,
0.40855,-0.0054221,-0.40332,0.040745,0.58082,0.55944,-0.057107,9.5905,3.1,,,,,,,,
0.40808,-0.0047651,-0.39526,0.039929,0.62075,0.53754,-0.054849,9.2151,3.2,,,,,,,,
0.40766,-0.0041877,-0.38738,0.039132,0.65988,0.51691,-0.052723,8.8614,3.3,,,,,,,,
0.40729,-0.0036803,-0.3797,0.038354,0.69823,0.49746,-0.050719,8.528,3.4,,,,,,,,
0.40697,-0.0032343,-0.37222,0.037596,0.73583,0.47911,-0.048829,8.2133,3.5,,,,,,,,
0.40668,-0.0028424,-0.36494,0.036858,0.77269,0.46177,-0.047044,7.9161,3.6,,,,,,,,
0.40643,-0.002498,-0.35786,0.03614,0.80883,0.44538,-0.045358,7.6351,3.7,,,,,,,,
0.40621,-0.0021953,-0.35098,0.035442,0.84427,0.42987,-0.043763,7.3693,3.8,,,,,,,,
0.40602,-0.0019293,-0.3443,0.034764,0.87903,0.41518,-0.042253,7.1175,3.9,,,,,,,,
0.40585,-0.0016955,-0.33782,0.034106,0.91314,0.40126,-0.040822,6.8788,4,,,,,,,,
0.4057,-0.00149,-0.33153,0.033467,0.94661,0.38806,-0.039466,6.6524,4.1,,,,,,,,
0.40557,-0.0013095,-0.32542,0.032847,0.97945,0.37552,-0.038179,6.4375,4.2,,,,,,,,
