"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
6.8158,-5.6166,0.30085,-0.015043,-0.015043,1.0152,-0.10321,3.3677e-06,-3,3.3174e-06,"0.50902","0.86353","0.0267","0.7","0.776962","0.900946",
6.2542,-5.6166,0.35717,-0.032901,-0.047944,1.0491,-0.10321,3.4803e-06,-2.9,,,,,,,,
5.739,-5.152,0.33807,-0.034762,-0.082706,1.0862,-0.10677,3.6034e-06,-2.8,,,,,,,,
5.2664,-4.7257,0.31777,-0.032792,-0.1155,1.1224,-0.11043,3.7235e-06,-2.7,,,,,,,,
4.8329,-4.3348,0.29615,-0.030696,-0.14619,1.1574,-0.11399,3.8396e-06,-2.6,,,,,,,,
4.4353,-3.9762,0.27306,-0.028461,-0.17465,1.1908,-0.11741,3.9505e-06,-2.5,,,,,,,,
4.0706,-3.6472,0.24834,-0.02607,-0.20072,1.2223,-0.12066,4.0548e-06,-2.4,,,,,,,,
3.736,-3.3455,0.22175,-0.023504,-0.22423,1.2514,-0.12368,4.1512e-06,-2.3,,,,,,,,
3.4292,-3.0687,0.19304,-0.02074,-0.24497,1.2776,-0.12645,4.2382e-06,-2.2,,,,,,,,
3.1477,-2.8148,0.16187,-0.017746,-0.26271,1.3005,-0.1289,4.3141e-06,-2.1,,,,,,,,
2.8895,-2.582,0.1278,-0.014484,-0.2772,1.3194,-0.13099,4.377e-06,-2,,,,,,,,
2.6526,-2.3684,0.09021,-0.0109,-0.2881,1.3339,-0.13267,4.425e-06,-1.9,,,,,,,,
2.4354,-2.1724,0.048267,-0.0069239,-0.29502,1.3432,-0.13385,4.4558e-06,-1.8,,,,,,,,
2.2361,-1.9927,0.00073063,-0.0024499,-0.29747,1.3465,-0.13448,4.4667e-06,-1.7,,,,,,,,
2.0533,-1.8279,-0.054307,0.0026788,-0.29479,1.3428,-0.13446,4.4547e-06,-1.6,,,,,,,,
1.8857,-1.6766,-0.11998,0.0087143,-0.28608,1.3312,-0.1337,4.4161e-06,-1.5,,,,,,,,
1.7319,-1.5379,-0.20187,0.016092,-0.26999,1.3099,-0.13206,4.3456e-06,-1.4,,,,,,,,
1.5908,-1.4107,-0.31107,0.025647,-0.24434,1.2768,-0.12934,4.2356e-06,-1.3,,,,,,,,
1.4614,-1.294,-0.47341,0.039224,-0.20512,1.2277,-0.12522,4.0726e-06,-1.2,,,,,,,,
1.3427,-1.1869,-0.76641,0.061991,-0.14312,1.1539,-0.11908,3.8278e-06,-1.1,,,,,,,,
1.2338,-1.0887,-1.5802,0.11733,-0.025791,1.0261,-0.109,3.4041e-06,-1,,,,,,,,
1.134,-0.99867,161.7157,-8.0068,-8.0326,3079.6265,-154.0326,0.010216,-0.9,,,,,,,,
1.0424,-0.91605,1.3972,-8.1556,-16.1882,10726266.7118,-536467.3169,35.5831,-0.8,,,,,,,,
0.95835,-0.84027,0.59843,-0.099779,-16.288,11851743.3695,-1128900.5041,39.3167,-0.7,,,,,,,,
0.88128,-0.77075,0.29843,-0.044843,-16.3328,12395305.6398,-1212352.4505,41.1199,-0.6,,,,,,,,
0.81058,-0.70699,0.12204,-0.021024,-16.3539,12658659.5527,-1252698.2596,41.9936,-0.5,,,,,,,,
0.74573,-0.6485,-0.0064327,-0.0057806,-16.3596,12732045.5296,-1269535.2541,42.237,-0.4,,,,,,,,
0.68624,-0.59485,-0.1124,0.0059418,-16.3537,12656618.0555,-1269433.1793,41.9868,-0.3,,,,,,,,
0.63168,-0.54564,-0.20686,0.015963,-16.3377,12456182.2711,-1255640.0163,41.3219,-0.2,,,,,,,,
0.58163,-0.5005,-0.29537,0.025112,-16.3126,12147282.5812,-1230173.2426,40.2972,-0.1,,,,,,,,
0.53572,-0.45909,-0.38111,0.033824,-16.2788,11743284.5817,-1194528.3581,38.9569,0,,,,,,,,
0.49361,-0.42111,-0.46602,0.042356,-16.2364,11256268.4405,-1149977.6511,37.3413,0.1,,,,,,,,
0.45498,-0.38627,-0.55142,0.050872,-16.1856,10697963.0504,-1097711.5745,35.4892,0.2,,,,,,,,
0.41955,-0.35432,-0.6382,0.059481,-16.1261,10080193.764,-1038907.8407,33.4398,0.3,,,,,,,,
0.38705,-0.325,-0.72706,0.068263,-16.0578,9415051.0805,-974762.2422,31.2333,0.4,,,,,,,,
0.35724,-0.29812,-0.81849,0.077277,-15.9805,8714882.4461,-906496.6763,28.9106,0.5,,,,,,,,
0.32989,-0.27345,-0.91292,0.086571,-15.894,7992164.3422,-835352.3394,26.5131,0.6,,,,,,,,
0.30481,-0.25083,-1.0107,0.096179,-15.7978,7259291.9783,-762572.816,24.0818,0.7,,,,,,,,
0.2818,-0.23008,-1.112,0.10613,-15.6917,6528315.2758,-689380.3627,21.6569,0.8,,,,,,,,
0.2607,-0.21104,-1.2171,0.11646,-15.5752,5810646.2873,-616948.0782,19.2761,0.9,,,,,,,,
0.24134,-0.19359,-1.3263,0.12717,-15.448,5116761.7027,-546370.3995,16.9742,1,,,,,,,,
0.22358,-0.17757,-1.4395,0.13829,-15.3097,4455923.0222,-478634.2362,14.782,1.1,,,,,,,,
0.20729,-0.16288,-1.5569,0.14982,-15.1599,3835935.3419,-414592.9182,12.7253,1.2,,,,,,,,
0.19235,-0.1494,-1.6786,0.16178,-14.9981,3262962.9954,-354944.9169,10.8245,1.3,,,,,,,,
0.17865,-0.13704,-1.8046,0.17416,-14.824,2741416.2729,-300218.9634,9.0943,1.4,,,,,,,,
0.16608,-0.12571,-1.9348,0.18697,-14.637,2273918.1877,-250766.723,7.5435,1.5,,,,,,,,
0.15455,-0.11531,-2.0692,0.2002,-14.4368,1861354.0607,-206763.6124,6.1748,1.6,,,,,,,,
0.14397,-0.10577,-2.2076,0.21384,-14.223,1503000.0898,-168217.7075,4.986,1.7,,,,,,,,
0.13427,-0.097018,-2.3499,0.22788,-13.9951,1196720.6935,-134986.0392,3.97,1.8,,,,,,,,
0.12537,-0.088991,-2.4959,0.24229,-13.7528,939218.9909,-106796.9842,3.1157,1.9,,,,,,,,
0.11721,-0.081629,-2.6452,0.25706,-13.4957,726320.9172,-83276.9954,2.4095,2,,,,,,,,
0.10972,-0.074876,-2.7976,0.27214,-13.2236,553271.6499,-63979.6284,1.8354,2.1,,,,,,,,
0.10285,-0.068682,-2.9527,0.28751,-12.9361,415023.4162,-48414.7533,1.3768,2.2,,,,,,,,
0.096551,-0.063,-3.1099,0.30313,-12.633,306496.2634,-36075.984,1.0168,2.3,,,,,,,,
0.090773,-0.057788,-3.2689,0.31894,-12.314,222797.5954,-26464.6929,0.7391,2.4,,,,,,,,
0.085472,-0.053007,-3.4291,0.3349,-11.9791,159391.5628,-19109.4579,0.52876,2.5,,,,,,,,
0.08061,-0.048622,-3.5899,0.35095,-11.6282,112215.0084,-13580.3286,0.37226,2.6,,,,,,,,
0.07615,-0.044599,-3.7506,0.36702,-11.2611,77741.8622,-9497.8435,0.2579,2.7,,,,,,,,
0.072059,-0.04091,-3.9107,0.38306,-10.8781,53002.0613,-6537.1962,0.17583,2.8,,,,,,,,
0.068306,-0.037525,-4.0694,0.399,-10.4791,35563.865,-4428.2963,0.11798,2.9,,,,,,,,
0.064864,-0.034421,-4.226,0.41477,-10.0643,23489.7289,-2952.6797,0.077924,3,,,,,,,,
0.061707,-0.031573,-4.3798,0.43029,-9.634,15275.8288,-1938.2779,0.050676,3.1,,,,,,,,
0.058811,-0.028961,-4.5302,0.4455,-9.1885,9784.1822,-1253.0006,0.032458,3.2,,,,,,,,
0.056154,-0.026565,-4.6765,0.46034,-8.7282,6174.5087,-797.9345,0.020483,3.3,,,,,,,,
