"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
23.6537,-30.4657,0.91043,-0.045522,-0.045522,1.0466,-0.11015,7.6195,-3,7.2805,"0.37","1.3846","0.09231","0.7","1.07888","0.648824",
20.6071,-30.4657,1.0867,-0.099854,-0.14538,1.1565,-0.11015,8.4197,-2.9,,,,,,,,
17.9545,-26.5264,1.0705,-0.10786,-0.25324,1.2882,-0.12223,9.3786,-2.8,,,,,,,,
15.6448,-23.0964,1.0533,-0.10619,-0.35943,1.4325,-0.13603,10.4293,-2.7,,,,,,,,
13.6338,-20.11,1.0348,-0.10441,-0.46383,1.5902,-0.15113,11.5771,-2.6,,,,,,,,
11.8829,-17.5097,1.015,-0.10249,-0.56632,1.7618,-0.1676,12.8265,-2.5,,,,,,,,
10.3583,-15.2456,0.99363,-0.10043,-0.66675,1.9479,-0.18548,14.1816,-2.4,,,,,,,,
9.0309,-13.2743,0.97069,-0.098216,-0.76497,2.1489,-0.20484,15.6451,-2.3,,,,,,,,
7.8751,-11.5579,0.94599,-0.095834,-0.8608,2.3651,-0.2257,17.2187,-2.2,,,,,,,,
6.8687,-10.0634,0.91937,-0.093268,-0.95407,2.5963,-0.24807,18.9019,-2.1,,,,,,,,
5.9925,-8.7622,0.89067,-0.090502,-1.0446,2.8422,-0.27192,20.6924,-2,,,,,,,,
5.2296,-7.6292,0.85969,-0.087518,-1.1321,3.1021,-0.29722,22.5849,-1.9,,,,,,,,
4.5653,-6.6427,0.82623,-0.084296,-1.2164,3.375,-0.32385,24.5713,-1.8,,,,,,,,
3.987,-5.7838,0.79007,-0.080815,-1.2972,3.659,-0.3517,26.6395,-1.7,,,,,,,,
3.4834,-5.0359,0.75099,-0.077053,-1.3743,3.9521,-0.38056,28.7733,-1.6,,,,,,,,
3.0449,-4.3848,0.70872,-0.072985,-1.4472,4.2514,-0.41017,30.9519,-1.5,,,,,,,,
2.6631,-3.8178,0.663,-0.068586,-1.5158,4.5532,-0.44023,33.1492,-1.4,,,,,,,,
2.3307,-3.3241,0.61356,-0.063828,-1.5797,4.8533,-0.47032,35.3341,-1.3,,,,,,,,
2.0413,-2.8943,0.56008,-0.058682,-1.6383,5.1466,-0.49999,37.4696,-1.2,,,,,,,,
1.7893,-2.5201,0.50224,-0.053116,-1.6915,5.4273,-0.5287,39.5136,-1.1,,,,,,,,
1.5698,-2.1942,0.43966,-0.047095,-1.7385,5.6891,-0.55582,41.419,-1,,,,,,,,
1.3788,-1.9105,0.37185,-0.040576,-1.7791,5.9246,-0.58069,43.1342,-0.9,,,,,,,,
1.2124,-1.6635,0.29771,-0.033478,-1.8126,6.1264,-0.60255,44.6027,-0.8,,,,,,,,
1.0676,-1.4484,0.2098,-0.025376,-1.838,6.2838,-0.62051,45.749,-0.7,,,,,,,,
0.94149,-1.2611,0.15971,-0.018475,-1.8565,6.401,-0.63424,46.6021,-0.6,,,,,,,,
0.83169,-1.098,0.059848,-0.010978,-1.8674,6.4716,-0.64363,47.1165,-0.5,,,,,,,,
0.73609,-0.95605,-0.036759,-0.0011545,-1.8686,6.4791,-0.64754,47.1709,-0.4,,,,,,,,
0.65284,-0.83243,-0.13791,0.0087335,-1.8598,6.4228,-0.64509,46.7607,-0.3,,,,,,,,
0.58036,-0.72479,-0.24437,0.019114,-1.8407,6.3012,-0.6362,45.8754,-0.2,,,,,,,,
0.51726,-0.63107,-0.35614,0.030025,-1.8107,6.1148,-0.6208,44.5185,-0.1,,,,,,,,
0.46231,-0.54947,-0.47296,0.041455,-1.7693,5.8665,-0.59906,42.7107,0,,,,,,,,
