"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
81.5598,-177.0042,1.5308,-0.076538,-0.076538,1.0795,-0.11871,3.0676,-3,2.8416,"0.05","2.4636","0.5","0.7","0.748195","0.935584",
63.8594,-177.0042,2.1021,-0.18164,-0.25818,1.2946,-0.11871,3.6786,-2.9,,,,,,,,
50.0241,-138.3531,2.0632,-0.20826,-0.46644,1.5943,-0.14444,4.5304,-2.8,,,,,,,,
39.2099,-108.142,2.0198,-0.20415,-0.67059,1.9554,-0.17749,5.5564,-2.7,,,,,,,,
30.7571,-84.5279,1.9713,-0.19956,-0.87015,2.3873,-0.21713,6.7836,-2.6,,,,,,,,
24.1501,-66.0702,1.9168,-0.19441,-1.0646,2.8996,-0.26434,8.2393,-2.5,,,,,,,,
18.9858,-51.6429,1.8555,-0.18862,-1.2532,3.5014,-0.32005,9.9496,-2.4,,,,,,,,
14.9492,-40.3661,1.7862,-0.18208,-1.4353,4.2007,-0.38511,11.9367,-2.3,,,,,,,,
11.794,-31.5516,1.7078,-0.1747,-1.61,5.0026,-0.46017,14.2152,-2.2,,,,,,,,
9.3279,-24.6619,1.6191,-0.16635,-1.7763,5.908,-0.54553,16.7879,-2.1,,,,,,,,
7.4002,-19.2767,1.5189,-0.1569,-1.9332,6.9116,-0.64098,19.6399,-2,,,,,,,,
5.8934,-15.0674,1.4059,-0.14624,-2.0794,8,-0.74558,22.7327,-1.9,,,,,,,,
4.7157,-11.7772,1.2791,-0.13425,-2.2137,9.1495,-0.85748,25.999,-1.8,,,,,,,,
3.7952,-9.2055,1.1378,-0.12085,-2.3345,10.3248,-0.97371,29.3387,-1.7,,,,,,,,
3.0756,-7.1954,0.98193,-0.10599,-2.4405,11.4792,-1.0902,32.619,-1.6,,,,,,,,
2.5132,-5.6242,0.81207,-0.0897,-2.5302,12.5565,-1.2018,35.6802,-1.5,,,,,,,,
2.0736,-4.3961,0.63,-0.072103,-2.6023,13.4953,-1.3026,38.3478,-1.4,,,,,,,,
1.73,-3.4361,0.43863,-0.053431,-2.6558,14.2359,-1.3866,40.4525,-1.3,,,,,,,,
1.4614,-2.6858,0.24194,-0.034028,-2.6898,14.7287,-1.4482,41.8528,-1.2,,,,,,,,
1.2515,-2.0993,0.044061,-0.0143,-2.7041,14.9408,-1.4835,42.4556,-1.1,,,,,,,,
1.0874,-1.6409,-0.15818,0.0057061,-2.6984,14.8558,-1.4898,42.214,-1,,,,,,,,
0.95911,-1.2826,-0.26385,0.021102,-2.6773,14.5456,-1.4701,41.3325,-0.9,,,,,,,,
0.85886,-1.0025,-0.45266,0.035826,-2.6415,14.0337,-1.429,39.878,-0.8,,,,,,,,
0.7805,-0.78362,-0.59152,0.052209,-2.5893,13.3198,-1.3677,37.8494,-0.7,,,,,,,,
0.71925,-0.6125,-0.70304,0.064728,-2.5245,12.485,-1.2902,35.4771,-0.6,,,,,,,,
0.67137,-0.47876,-0.78884,0.074594,-2.4499,11.5876,-1.2036,32.927,-0.5,,,,,,,,
0.63395,-0.37421,-0.85063,0.081973,-2.368,10.6756,-1.1132,30.3355,-0.4,,,,,,,,
0.6047,-0.2925,-0.89095,0.087079,-2.2809,9.7853,-1.023,27.8057,-0.3,,,,,,,,
0.58184,-0.22863,-0.91291,0.090193,-2.1907,8.9414,-0.93633,25.4076,-0.2,,,,,,,,
0.56397,-0.17871,-0.91981,0.091636,-2.0991,8.1584,-0.85499,23.1828,-0.1,,,,,,,,
0.55,-0.13968,-0.91486,0.091734,-2.0073,7.4433,-0.78009,21.1508,0,,,,,,,,
0.53908,-0.10918,-0.90096,0.090791,-1.9165,6.7973,-0.71203,19.3151,0.1,,,,,,,,
0.53055,-0.08534,-0.88058,0.089077,-1.8275,6.218,-0.65077,17.669,0.2,,,,,,,,
0.52388,-0.066705,-0.85578,0.086818,-1.7406,5.7009,-0.59595,16.1997,0.3,,,,,,,,
0.51866,-0.052139,-0.82818,0.084198,-1.6564,5.2406,-0.54708,14.8916,0.4,,,,,,,,
0.51459,-0.040754,-0.79903,0.08136,-1.5751,4.8311,-0.50358,13.728,0.5,,,,,,,,
0.5114,-0.031855,-0.76928,0.078416,-1.4967,4.4667,-0.46489,12.6926,0.6,,,,,,,,
0.50891,-0.024899,-0.73962,0.075445,-1.4212,4.1421,-0.43044,11.7702,0.7,,,,,,,,
0.50697,-0.019462,-0.71053,0.072508,-1.3487,3.8524,-0.39973,10.947,0.8,,,,,,,,
0.50545,-0.015212,-0.68235,0.069644,-1.2791,3.5933,-0.37228,10.2106,0.9,,,,,,,,
0.50426,-0.01189,-0.65528,0.066881,-1.2122,3.3608,-0.3477,9.55,1,,,,,,,,
0.50333,-0.009294,-0.62945,0.064236,-1.1479,3.1517,-0.32563,8.9558,1.1,,,,,,,,
0.5026,-0.0072645,-0.60492,0.061718,-1.0862,2.9631,-0.30574,8.4198,1.2,,,,,,,,
0.50203,-0.0056782,-0.5817,0.059331,-1.0269,2.7924,-0.28777,7.9348,1.3,,,,,,,,
0.50159,-0.0044383,-0.55978,0.057074,-0.96982,2.6375,-0.27149,7.4946,1.4,,,,,,,,
0.50124,-0.0034692,-0.53912,0.054945,-0.91488,2.4965,-0.2567,7.0939,1.5,,,,,,,,
0.50097,-0.0027116,-0.51966,0.052939,-0.86194,2.3677,-0.24321,6.7281,1.6,,,,,,,,
0.50076,-0.0021195,-0.50135,0.05105,-0.81089,2.2499,-0.23088,6.3933,1.7,,,,,,,,
0.50059,-0.0016567,-0.48411,0.049273,-0.76161,2.1417,-0.21958,6.0859,1.8,,,,,,,,
0.50046,-0.0012949,-0.46789,0.0476,-0.71401,2.0422,-0.20919,5.803,1.9,,,,,,,,
