"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
13.4568,-14.3357,0.72758,-0.036379,-0.036379,1.037,-0.10794,11.3005,-3,10.8967,"0.44","1.1372","0.12","0.7","1.14696","0.610308",
12.0233,-14.3357,0.84322,-0.07854,-0.11492,1.1218,-0.10794,12.2238,-2.9,,,,,,,,
10.7438,-12.7948,0.82979,-0.08365,-0.19857,1.2197,-0.11707,13.2903,-2.8,,,,,,,,
9.6018,-11.4195,0.81553,-0.082266,-0.28083,1.3242,-0.12719,14.4298,-2.7,,,,,,,,
8.5826,-10.192,0.80037,-0.080795,-0.36163,1.4357,-0.138,15.6441,-2.6,,,,,,,,
7.673,-9.0965,0.78426,-0.079232,-0.44086,1.554,-0.14949,16.934,-2.5,,,,,,,,
6.8611,-8.1187,0.76713,-0.07757,-0.51843,1.6794,-0.16167,18.2999,-2.4,,,,,,,,
6.1365,-7.246,0.74889,-0.075801,-0.59423,1.8116,-0.17455,19.741,-2.3,,,,,,,,
5.4898,-6.4671,0.72948,-0.073918,-0.66815,1.9506,-0.18811,21.2555,-2.2,,,,,,,,
4.9126,-5.772,0.7088,-0.071914,-0.74006,2.0961,-0.20233,22.8403,-2.1,,,,,,,,
4.3975,-5.1516,0.68677,-0.069779,-0.80984,2.2476,-0.21718,24.491,-2,,,,,,,,
3.9377,-4.5978,0.6633,-0.067504,-0.87735,2.4045,-0.2326,26.2013,-1.9,,,,,,,,
3.5273,-4.1036,0.63829,-0.06508,-0.94243,2.5662,-0.24854,27.9632,-1.8,,,,,,,,
3.1611,-3.6625,0.61164,-0.062496,-1.0049,2.7317,-0.26489,29.7666,-1.7,,,,,,,,
2.8342,-3.2688,0.58324,-0.059744,-1.0647,2.8999,-0.28158,31.5992,-1.6,,,,,,,,
2.5424,-2.9175,0.55298,-0.056811,-1.1215,3.0694,-0.29846,33.4463,-1.5,,,,,,,,
2.2821,-2.6039,0.52076,-0.053687,-1.1752,3.2387,-0.3154,35.291,-1.4,,,,,,,,
2.0497,-2.324,0.48646,-0.050361,-1.2255,3.406,-0.33223,37.1138,-1.3,,,,,,,,
1.8422,-2.0742,0.44995,-0.04682,-1.2723,3.5692,-0.34876,38.8928,-1.2,,,,,,,,
1.6571,-1.8512,0.41112,-0.043053,-1.3154,3.7262,-0.36477,40.6039,-1.1,,,,,,,,
1.4919,-1.6522,0.36981,-0.039046,-1.3544,3.8746,-0.38004,42.2207,-1,,,,,,,,
1.3444,-1.4746,0.32582,-0.034781,-1.3892,4.0117,-0.39432,43.715,-0.9,,,,,,,,
1.2128,-1.3161,0.27868,-0.030225,-1.4195,4.1349,-0.40733,45.0565,-0.8,,,,,,,,
1.0953,-1.1747,0.22624,-0.025246,-1.4447,4.2406,-0.41877,46.2085,-0.7,,,,,,,,
0.99051,-1.0484,0.24788,-0.023706,-1.4684,4.3423,-0.42914,47.317,-0.6,,,,,,,,
0.89694,-0.9357,0.13502,-0.019145,-1.4876,4.4262,-0.43843,48.2316,-0.5,,,,,,,,
0.81342,-0.83513,0.075785,-0.01054,-1.4981,4.4731,-0.44497,48.7426,-0.4,,,,,,,,
0.73889,-0.74536,0.015859,-0.0045822,-1.5027,4.4937,-0.44834,48.9665,-0.3,,,,,,,,
0.67236,-0.66524,-0.04604,0.001509,-1.5012,4.4869,-0.44903,48.8927,-0.2,,,,,,,,
0.61299,-0.59373,-0.11008,0.0078058,-1.4934,4.452,-0.44695,48.5125,-0.1,,,,,,,,
0.56,-0.52991,-0.17617,0.014312,-1.479,4.3888,-0.44204,47.8231,0,,,,,,,,
0.5127,-0.47295,-0.24415,0.021016,-1.458,4.2975,-0.43431,46.8285,0.1,,,,,,,,
0.47049,-0.42212,-0.31375,0.027895,-1.4301,4.1793,-0.42384,45.5403,0.2,,,,,,,,
0.43282,-0.37674,-0.38466,0.034921,-1.3952,4.0358,-0.41075,43.9775,0.3,,,,,,,,
0.39919,-0.33625,-0.4565,0.042058,-1.3532,3.8696,-0.39527,42.1662,0.4,,,,,,,,
0.36918,-0.3001,-0.52885,0.049268,-1.3039,3.6836,-0.37766,40.1391,0.5,,,,,,,,
0.3424,-0.26785,-0.60126,0.056505,-1.2474,3.4812,-0.35824,37.9339,0.6,,,,,,,,
0.31849,-0.23906,-0.67321,0.063723,-1.1837,3.2663,-0.33738,35.5921,0.7,,,,,,,,
0.29716,-0.21336,-0.7442,0.070871,-1.1128,3.0428,-0.31546,33.1569,0.8,,,,,,,,
0.27811,-0.19043,-0.8137,0.077895,-1.0349,2.8148,-0.29288,30.6722,0.9,,,,,,,,
0.26112,-0.16996,-0.88119,0.084745,-0.95015,2.5861,-0.27004,28.18,1,,,,,,,,
0.24595,-0.15169,-0.94615,0.091367,-0.85878,2.3603,-0.24732,25.7194,1.1,,,,,,,,
0.23241,-0.13538,-1.0081,0.097713,-0.76107,2.1406,-0.22504,23.3251,1.2,,,,,,,,
0.22033,-0.12083,-1.0666,0.10374,-0.65733,1.9296,-0.20351,21.0267,1.3,,,,,,,,
0.20954,-0.10784,-1.1214,0.1094,-0.54793,1.7297,-0.18297,18.8477,1.4,,,,,,,,
0.19992,-0.096251,-1.172,0.11467,-0.43326,1.5423,-0.1636,16.8058,1.5,,,,,,,,
0.19133,-0.085905,-1.2182,0.11951,-0.31375,1.3686,-0.14554,14.9128,1.6,,,,,,,,
0.18366,-0.076671,-1.2599,0.12391,-0.18985,1.2091,-0.12888,13.1749,1.7,,,,,,,,
0.17682,-0.06843,-1.297,0.12785,-0.061999,1.064,-0.11365,11.5937,1.8,,,,,,,,
0.17071,-0.061074,-1.3294,0.13132,0.069323,0.93303,-0.099849,10.1669,1.9,,,,,,,,
0.16526,-0.054509,-1.3573,0.13433,0.20366,0.81574,-0.087438,8.8889,2,,,,,,,,
0.1604,-0.04865,-1.3806,0.13689,0.34055,0.71138,-0.076356,7.7517,2.1,,,,,,,,
0.15605,-0.043421,-1.3996,0.13901,0.47956,0.61906,-0.066522,6.7457,2.2,,,,,,,,
0.15218,-0.038754,-1.4144,0.1407,0.62025,0.53781,-0.057843,5.8604,2.3,,,,,,,,
0.14872,-0.034588,-1.4253,0.14198,0.76224,0.46662,-0.050222,5.0847,2.4,,,,,,,,
0.14563,-0.03087,-1.4325,0.14289,0.90513,0.40449,-0.043556,4.4076,2.5,,,,,,,,
0.14288,-0.027552,-1.4364,0.14345,1.0486,0.35044,-0.037746,3.8186,2.6,,,,,,,,
0.14042,-0.02459,-1.4372,0.14368,1.1923,0.30354,-0.032699,3.3076,2.7,,,,,,,,
0.13822,-0.021947,-1.4352,0.14362,1.3359,0.26293,-0.028323,2.8651,2.8,,,,,,,,
0.13626,-0.019588,-1.4306,0.14329,1.4792,0.22783,-0.024538,2.4826,2.9,,,,,,,,
0.13452,-0.017483,-1.4238,0.14272,1.6219,0.19753,-0.021268,2.1524,3,,,,,,,,
0.13296,-0.015603,-1.4151,0.14194,1.7638,0.17139,-0.018446,1.8676,3.1,,,,,,,,
0.13156,-0.013926,-1.4046,0.14098,1.9048,0.14885,-0.016012,1.622,3.2,,,,,,,,
0.13032,-0.012429,-1.3926,0.13986,2.0447,0.12942,-0.013914,1.4103,3.3,,,,,,,,
0.12921,-0.011093,-1.3793,0.13859,2.1833,0.11267,-0.012105,1.2278,3.4,,,,,,,,
0.12822,-0.0099008,-1.365,0.13721,2.3205,0.098228,-0.010545,1.0704,3.5,,,,,,,,
0.12734,-0.0088366,-1.3498,0.13574,2.4562,0.08576,-0.0091994,0.9345,3.6,,,,,,,,
0.12655,-0.0078868,-1.3338,0.13418,2.5904,0.074991,-0.0080376,0.81716,3.7,,,,,,,,
0.12584,-0.007039,-1.3173,0.13255,2.7229,0.065682,-0.0070337,0.71572,3.8,,,,,,,,
0.12522,-0.0062824,-1.3003,0.13088,2.8538,0.057624,-0.0061653,0.62792,3.9,,,,,,,,
0.12466,-0.0056071,-1.283,0.12916,2.983,0.050642,-0.0054133,0.55183,4,,,,,,,,
0.12416,-0.0050044,-1.2655,0.12742,3.1104,0.044583,-0.0047612,0.48581,4.1,,,,,,,,
0.12371,-0.0044665,-1.2478,0.12566,3.2361,0.039318,-0.0041951,0.42844,4.2,,,,,,,,
0.12331,-0.0039864,-1.2301,0.12389,3.36,0.034737,-0.0037028,0.37852,4.3,,,,,,,,
0.12295,-0.0035579,-1.2123,0.12212,3.4821,0.030744,-0.003274,0.33501,4.4,,,,,,,,
0.12264,-0.0031755,-1.1947,0.12035,3.6024,0.027258,-0.0029001,0.29702,4.5,,,,,,,,
0.12235,-0.0028341,-1.1771,0.11859,3.721,0.024209,-0.0025733,0.2638,4.6,,,,,,,,
0.1221,-0.0025295,-1.1598,0.11685,3.8379,0.02154,-0.0022875,0.23471,4.7,,,,,,,,
0.12187,-0.0022576,-1.1426,0.11512,3.953,0.019197,-0.0020369,0.20919,4.8,,,,,,,,
0.12167,-0.0020149,-1.1256,0.11341,4.0664,0.017139,-0.0018168,0.18676,4.9,,,,,,,,
0.12149,-0.0017983,-1.1089,0.11173,4.1781,0.015327,-0.0016233,0.16702,5,,,,,,,,

