"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
358.2209,-847.1409,1.938,-0.096898,-0.096898,1.1017,-0.12438,0.44114,-3,0.4004,"0.10838","2.7008","0.2978","0.7","1.01197","0.691722",
273.5069,-847.1409,2.6515,-0.22947,-0.32637,1.3859,-0.12438,0.55492,-2.9,,,,,,,,
208.8431,-646.6376,2.6298,-0.26406,-0.59043,1.8048,-0.15953,0.72262,-2.8,,,,,,,,
159.4841,-493.5899,2.606,-0.26179,-0.85222,2.3449,-0.20748,0.93887,-2.7,,,,,,,,
121.8075,-376.7659,2.5795,-0.25927,-1.1115,3.0389,-0.26919,1.2168,-2.6,,,,,,,,
93.0483,-287.5921,2.5502,-0.25649,-1.368,3.9274,-0.34832,1.5725,-2.5,,,,,,,,
71.0959,-219.5241,2.5174,-0.25338,-1.6214,5.06,-0.44937,2.026,-2.4,,,,,,,,
54.3392,-167.5666,2.4806,-0.2499,-1.8713,6.4965,-0.57782,2.6012,-2.3,,,,,,,,
41.5486,-127.9066,2.4391,-0.24598,-2.1172,8.3082,-0.74023,3.3266,-2.2,,,,,,,,
31.7853,-97.6333,2.392,-0.24156,-2.3588,10.5783,-0.94432,4.2355,-2.1,,,,,,,,
24.3327,-74.5253,2.3385,-0.23653,-2.5953,13.401,-1.199,5.3657,-2,,,,,,,,
18.6441,-56.8864,2.2772,-0.23078,-2.8261,16.8797,-1.514,6.7585,-1.9,,,,,,,,
14.3018,-43.4224,2.2069,-0.2242,-3.0503,21.122,-1.9001,8.4571,-1.8,,,,,,,,
10.9873,-33.1451,2.1258,-0.21663,-3.2669,26.2311,-2.3677,10.5028,-1.7,,,,,,,,
8.4573,-25.3002,2.0322,-0.2079,-3.4748,32.2928,-2.9262,12.9299,-1.6,,,,,,,,
6.5261,-19.3121,1.924,-0.19781,-3.6727,39.3562,-3.5825,15.7581,-1.5,,,,,,,,
5.052,-14.7413,1.7989,-0.18614,-3.8588,47.4084,-4.3382,18.9821,-1.4,,,,,,,,
3.9267,-11.2523,1.6547,-0.17268,-4.0315,56.3443,-5.1876,22.56,-1.3,,,,,,,,
3.0678,-8.5891,1.4893,-0.1572,-4.1887,65.9358,-6.114,26.4004,-1.2,,,,,,,,
2.4122,-6.5562,1.3009,-0.13951,-4.3282,75.807,-7.0871,30.3528,-1.1,,,,,,,,
1.9118,-5.0045,1.0889,-0.11949,-4.4477,85.4289,-8.0618,34.2054,-1,,,,,,,,
1.5298,-3.82,0.85403,-0.097148,-4.5448,94.1447,-8.9787,37.6951,-0.9,,,,,,,,
1.2382,-2.9159,0.59934,-0.072669,-4.6175,101.2407,-9.7693,40.5364,-0.8,,,,,,,,
1.0156,-2.2257,0.35619,-0.047776,-4.6653,106.195,-10.3718,42.52,-0.7,,,,,,,,
0.84572,-1.6989,0.043511,-0.019985,-4.6853,108.3387,-10.7267,43.3783,-0.6,,,,,,,,
0.71604,-1.2968,-0.23291,0.0094698,-4.6758,107.3176,-10.7828,42.9695,-0.5,,,,,,,,
0.61705,-0.98989,-0.49804,0.036547,-4.6392,103.4662,-10.5392,41.4274,-0.4,,,,,,,,
0.54149,-0.7556,-0.74066,0.061935,-4.5773,97.2525,-10.0359,38.9395,-0.3,,,,,,,,
0.48381,-0.57677,-0.95198,0.084632,-4.4927,89.3605,-9.3306,35.7795,-0.2,,,,,,,,
0.43979,-0.44026,-1.1262,0.10391,-4.3888,80.5411,-8.4951,32.2483,-0.1,,,,,,,,
0.40618,-0.33605,-1.2612,0.11937,-4.2694,71.4786,-7.601,28.6197,0,,,,,,,,
0.38053,-0.25652,-1.3578,0.13095,-4.1385,62.7056,-6.7092,25.1071,0.1,,,,,,,,
0.36095,-0.1958,-1.4195,0.13886,-3.9996,54.5756,-5.8641,21.8519,0.2,,,,,,,,
0.346,-0.14946,-1.4514,0.14355,-3.856,47.2778,-5.0927,18.9298,0.3,,,,,,,,
0.33459,-0.11409,-1.4591,0.14553,-3.7105,40.8748,-4.4076,16.3661,0.4,,,,,,,,
0.32589,-0.087084,-1.448,0.14536,-3.5652,35.345,-3.811,14.152,0.5,,,,,,,,
0.31924,-0.066472,-1.4231,0.14356,-3.4216,30.6183,-3.2982,12.2594,0.6,,,,,,,,
0.31416,-0.05074,-1.3885,0.14058,-3.281,26.6028,-2.8611,10.6516,0.7,,,,,,,,
0.31029,-0.03873,-1.3476,0.13681,-3.1442,23.2013,-2.4902,9.2897,0.8,,,,,,,,
0.30733,-0.029564,-1.303,0.13253,-3.0117,20.3214,-2.1761,8.1366,0.9,,,,,,,,
0.30508,-0.022566,-1.2566,0.12798,-2.8837,17.8802,-1.9101,7.1592,1,,,,,,,,
0.30336,-0.017225,-1.2098,0.12332,-2.7604,15.8058,-1.6843,6.3286,1.1,,,,,,,,
0.30204,-0.013148,-1.1636,0.11867,-2.6417,14.0372,-1.4922,5.6204,1.2,,,,,,,,
0.30104,-0.010036,-1.1186,0.11411,-2.5276,12.5234,-1.328,5.0143,1.3,,,,,,,,
0.30027,-0.007661,-1.0754,0.1097,-2.4179,11.2223,-1.1873,4.4934,1.4,,,,,,,,
0.29969,-0.0058478,-1.0341,0.10547,-2.3124,10.0989,-1.0661,4.0436,1.5,,,,,,,,
0.29924,-0.0044637,-0.99485,0.10145,-2.211,9.1247,-0.96118,3.6535,1.6,,,,,,,,
0.2989,-0.0034072,-0.95772,0.097629,-2.1134,8.2759,-0.87003,3.3136,1.7,,,,,,,,
0.29864,-0.0026008,-0.92268,0.09402,-2.0193,7.5333,-0.79046,3.0163,1.8,,,,,,,,
0.29844,-0.0019852,-0.88965,0.090616,-1.9287,6.8807,-0.7207,2.755,1.9,,,,,,,,
0.29829,-0.0015154,-0.85854,0.08741,-1.8413,6.3048,-0.65927,2.5244,2,,,,,,,,
0.29817,-0.0011567,-0.82927,0.084391,-1.7569,5.7945,-0.60497,2.3201,2.1,,,,,,,,
0.29808,-0.00088293,-0.80172,0.081549,-1.6754,5.3408,-0.55676,2.1384,2.2,,,,,,,,
0.29802,-0.00067396,-0.77577,0.078874,-1.5965,4.9357,-0.51382,1.9762,2.3,,,,,,,,
0.29797,-0.00051444,-0.75133,0.076355,-1.5201,4.5729,-0.47543,1.831,2.4,,,,,,,,
0.29793,-0.00039268,-0.72828,0.07398,-1.4462,4.2468,-0.44098,1.7004,2.5,,,,,,,,
0.2979,-0.00029974,-0.70653,0.07174,-1.3744,3.9528,-0.40998,1.5827,2.6,,,,,,,,
0.29787,-0.0002288,-0.68598,0.069625,-1.3048,3.6869,-0.38198,1.4762,2.7,,,,,,,,
0.29786,-0.00017465,-0.66655,0.067626,-1.2372,3.4458,-0.35664,1.3797,2.8,,,,,,,,
0.29784,-0.00013331,-0.64815,0.065735,-1.1714,3.2266,-0.33362,1.2919,2.9,,,,,,,,
0.29783,-0.00010176,-0.63072,0.063944,-1.1075,3.0267,-0.31267,1.2119,3,,,,,,,,
0.29783,-7.7674e-05,-0.61418,0.062245,-1.0452,2.8441,-0.29354,1.1388,3.1,,,,,,,,
0.29782,-5.929e-05,-0.59847,0.060633,-0.98461,2.6768,-0.27604,1.0718,3.2,,,,,,,,
0.29781,-4.5257e-05,-0.58353,0.0591,-0.92551,2.5232,-0.26,1.0103,3.3,,,,,,,,
0.29781,-3.4545e-05,-0.56931,0.057642,-0.86787,2.3818,-0.24525,0.95367,3.4,,,,,,,,
0.29781,-2.6369e-05,-0.55576,0.056254,-0.81161,2.2515,-0.23167,0.9015,3.5,,,,,,,,
0.29781,-2.0128e-05,-0.54284,0.05493,-0.75668,2.1312,-0.21914,0.85332,3.6,,,,,,,,
0.2978,-1.5364e-05,-0.5305,0.053667,-0.70302,2.0198,-0.20755,0.80873,3.7,,,,,,,,
0.2978,-1.1728e-05,-0.5187,0.05246,-0.65056,1.9166,-0.19682,0.7674,3.8,,,,,,,,
0.2978,-8.9519e-06,-0.50741,0.051306,-0.59925,1.8208,-0.18687,0.72902,3.9,,,,,,,,
0.2978,-6.8332e-06,-0.49661,0.050201,-0.54905,1.7316,-0.17762,0.69333,4,,,,,,,,
0.2978,-5.2159e-06,-0.48625,0.049143,-0.49991,1.6486,-0.16901,0.66008,4.1,,,,,,,,
0.2978,-3.9814e-06,-0.47631,0.048128,-0.45178,1.5711,-0.16098,0.62906,4.2,,,,,,,,
0.2978,-3.0391e-06,-0.46678,0.047154,-0.40462,1.4987,-0.15349,0.60009,4.3,,,,,,,,
0.2978,-2.3198e-06,-0.45761,0.046219,-0.3584,1.431,-0.14649,0.57298,4.4,,,,,,,,
0.2978,-1.7707e-06,-0.4488,0.04532,-0.31308,1.3676,-0.13993,0.5476,4.5,,,,,,,,
0.2978,-1.3516e-06,-0.44032,0.044456,-0.26863,1.3082,-0.13379,0.52378,4.6,,,,,,,,
0.2978,-1.0317e-06,-0.43215,0.043624,-0.225,1.2523,-0.12802,0.50143,4.7,,,,,,,,
0.2978,-7.8753e-07,-0.42429,0.042822,-0.18218,1.1998,-0.12261,0.48041,4.8,,,,,,,,
0.2978,-6.0113e-07,-0.4167,0.042049,-0.14013,1.1504,-0.11751,0.46063,4.9,,,,,,,,
0.2978,-4.5885e-07,-0.40938,0.041304,-0.098829,1.1039,-0.11272,0.44199,5,,,,,,,,

