"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
8.997,-10.1696,0.64978,-0.032489,-0.032489,1.033,-0.10713,17.4181,-3,16.8613,"0.19","1.2684","0.46","0.7","0.849883","0.823643",
7.98,-10.1696,0.77871,-0.071424,-0.10391,1.1095,-0.10713,18.7077,-2.9,,,,,,,,
7.0842,-8.9581,0.7532,-0.076596,-0.18051,1.1978,-0.11537,20.197,-2.8,,,,,,,,
6.2951,-7.891,0.72604,-0.073962,-0.25447,1.2898,-0.12438,21.7474,-2.7,,,,,,,,
5.6,-6.951,0.69714,-0.071159,-0.32563,1.3849,-0.13373,23.3513,-2.6,,,,,,,,
4.9877,-6.123,0.66644,-0.068179,-0.39381,1.4826,-0.14338,24.9989,-2.5,,,,,,,,
4.4484,-5.3936,0.63386,-0.065015,-0.45882,1.5822,-0.15324,26.6782,-2.4,,,,,,,,
3.9733,-4.7511,0.59937,-0.061661,-0.52049,1.6828,-0.16325,28.375,-2.3,,,,,,,,
3.5547,-4.1851,0.56294,-0.058115,-0.5786,1.7835,-0.17332,30.0729,-2.2,,,,,,,,
3.1861,-3.6866,0.52456,-0.054375,-0.63298,1.8832,-0.18334,31.7534,-2.1,,,,,,,,
2.8613,-3.2474,0.48426,-0.050441,-0.68342,1.9806,-0.19319,33.3961,-2,,,,,,,,
2.5753,-2.8606,0.4421,-0.046318,-0.72973,2.0745,-0.20276,34.9793,-1.9,,,,,,,,
2.3233,-2.5198,0.39816,-0.042013,-0.77175,2.1635,-0.2119,36.4802,-1.8,,,,,,,,
2.1013,-2.2196,0.3526,-0.037538,-0.80929,2.2463,-0.22049,37.8757,-1.7,,,,,,,,
1.9058,-1.9552,0.30558,-0.032909,-0.84219,2.3215,-0.22839,39.1429,-1.6,,,,,,,,
1.7336,-1.7223,0.25734,-0.028146,-0.87034,2.3877,-0.23546,40.2602,-1.5,,,,,,,,
1.5819,-1.5171,0.20814,-0.023274,-0.89361,2.4439,-0.24158,41.2082,-1.4,,,,,,,,
1.4482,-1.3364,0.1583,-0.018322,-0.91194,2.4891,-0.24665,41.9702,-1.3,,,,,,,,
1.3305,-1.1772,0.10817,-0.013323,-0.92526,2.5225,-0.25058,42.5331,-1.2,,,,,,,,
1.2268,-1.037,0.058114,-0.0083141,-0.93357,2.5436,-0.25331,42.8882,-1.1,,,,,,,,
1.1355,-0.91345,0.0084857,-0.00333,-0.9369,2.5521,-0.25478,43.0313,-1,,,,,,,,
1.055,-0.80464,-0.040695,0.0016105,-0.93529,2.548,-0.255,42.962,-0.9,,,,,,,,
0.98412,-0.70879,-0.082619,0.0061657,-0.92913,2.5323,-0.25401,42.6979,-0.8,,,,,,,,
0.92169,-0.62436,-0.13116,0.010689,-0.91844,2.5054,-0.25188,42.244,-0.7,,,,,,,,
0.86669,-0.54998,-0.17468,0.015292,-0.90315,2.4674,-0.24864,41.6029,-0.6,,,,,,,,
0.81824,-0.48446,-0.21549,0.019508,-0.88364,2.4197,-0.24435,40.7992,-0.5,,,,,,,,
0.77557,-0.42675,-0.25347,0.023448,-0.86019,2.3636,-0.23916,39.8536,-0.4,,,,,,,,
0.73798,-0.37592,-0.28843,0.027095,-0.83309,2.3004,-0.2332,38.7883,-0.3,,,,,,,,
0.70486,-0.33114,-0.32021,0.030432,-0.80266,2.2315,-0.2266,37.6257,-0.2,,,,,,,,
0.67569,-0.29169,-0.34872,0.033446,-0.76922,2.1581,-0.21948,36.388,-0.1,,,,,,,,
0.65,-0.25694,-0.37393,0.036133,-0.73308,2.0815,-0.21198,35.0967,0,,,,,,,,
0.62737,-0.22633,-0.39588,0.038491,-0.69459,2.0029,-0.20422,33.7715,0.1,,,,,,,,
