"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
23.6914,-33.4694,0.90973,-0.045486,-0.045486,1.0465,-0.11025,2.702,-3,2.5819,"0.2278","1.5439","0.29682","0.7","0.868057","0.806399",
20.3444,-33.4694,1.1219,-0.10158,-0.14707,1.1584,-0.11025,2.9909,-2.9,,,,,,,,
17.4763,-28.6811,1.0964,-0.11091,-0.25798,1.2943,-0.12264,3.3418,-2.8,,,,,,,,
15.0185,-24.5778,1.0686,-0.10825,-0.36623,1.4423,-0.13683,3.7238,-2.7,,,,,,,,
12.9124,-21.0616,1.0386,-0.10536,-0.47159,1.6025,-0.15224,4.1376,-2.6,,,,,,,,
11.1075,-18.0484,1.0059,-0.10222,-0.57382,1.775,-0.16888,4.5829,-2.5,,,,,,,,
9.5609,-15.4663,0.97038,-0.098815,-0.67263,1.9594,-0.18672,5.0589,-2.4,,,,,,,,
8.2355,-13.2536,0.93169,-0.095104,-0.76774,2.1549,-0.20571,5.5637,-2.3,,,,,,,,
7.0998,-11.3575,0.88949,-0.091059,-0.8588,2.3603,-0.22576,6.0941,-2.2,,,,,,,,
6.1265,-9.7327,0.84343,-0.086646,-0.94544,2.574,-0.24671,6.6456,-2.1,,,,,,,,
5.2925,-8.3403,0.79308,-0.081826,-1.0273,2.7934,-0.26837,7.2123,-2,,,,,,,,
4.5778,-7.1471,0.73796,-0.076552,-1.1038,3.0157,-0.29045,7.7861,-1.9,,,,,,,,
3.9653,-6.1246,0.6775,-0.070773,-1.1746,3.2368,-0.31262,8.3571,-1.8,,,,,,,,
3.4405,-5.2484,0.611,-0.064425,-1.239,3.4522,-0.33445,8.9132,-1.7,,,,,,,,
2.9907,-4.4975,0.53756,-0.057428,-1.2964,3.6563,-0.35543,9.4401,-1.6,,,,,,,,
2.6053,-3.8541,0.45589,-0.049673,-1.3461,3.8425,-0.37494,9.9208,-1.5,,,,,,,,
2.2751,-3.3027,0.36401,-0.040995,-1.3871,4.0033,-0.39229,10.336,-1.4,,,,,,,,
1.9921,-2.8302,0.25846,-0.031123,-1.4182,4.1298,-0.40666,10.6628,-1.3,,,,,,,,
1.7495,-2.4253,0.13235,-0.019541,-1.4378,4.2113,-0.41706,10.8732,-1.2,,,,,,,,
1.5417,-2.0783,-0.030572,-0.0050891,-1.4429,4.2328,-0.42221,10.9286,-1.1,,,,,,,,
1.3636,-1.781,-0.28056,0.015556,-1.4273,4.1675,-0.42001,10.7599,-1,,,,,,,,
1.211,-1.5262,-0.88396,0.058226,-1.3691,3.9318,-0.40496,10.1513,-0.9,,,,,,,,
1.0802,-1.3078,14.5762,-0.68461,-2.0537,7.7967,-0.58642,20.1301,-0.8,,,,,,,,
0.96812,-1.1207,0.80112,-0.76886,-2.8226,16.8198,-1.2308,43.4269,-0.7,,,,,,,,
0.87208,-0.9604,0.28258,-0.054185,-2.8767,17.7564,-1.7288,45.8449,-0.6,,,,,,,,
0.78978,-0.823,0.041306,-0.016194,-2.8929,18.0463,-1.7901,46.5934,-0.5,,,,,,,,
0.71926,-0.70526,-0.1259,0.0042296,-2.8887,17.9701,-1.8008,46.3967,-0.4,,,,,,,,
0.65882,-0.60436,-0.26074,0.019332,-2.8694,17.626,-1.7798,45.5084,-0.3,,,,,,,,
0.60703,-0.5179,-0.37665,0.03187,-2.8375,17.0732,-1.735,44.0809,-0.2,,,,,,,,
0.56265,-0.4438,-0.47885,0.042775,-2.7947,16.3582,-1.6716,42.2351,-0.1,,,,,,,,
0.52462,-0.38031,-0.56956,0.052421,-2.7423,15.5228,-1.5941,40.0781,0,,,,,,,,
0.49203,-0.3259,-0.64978,0.060967,-2.6813,14.6047,-1.5064,37.7077,0.1,,,,,,,,
0.4641,-0.27928,-0.72,0.068489,-2.6129,13.6379,-1.4121,35.2116,0.2,,,,,,,,
0.44017,-0.23932,-0.78056,0.075028,-2.5378,12.6522,-1.3145,32.6664,0.3,,,,,,,,
0.41966,-0.20508,-0.83183,0.08062,-2.4572,11.6722,-1.2162,30.1362,0.4,,,,,,,,
0.40209,-0.17574,-0.8742,0.085301,-2.3719,10.7178,-1.1195,27.6722,0.5,,,,,,,,
0.38703,-0.1506,-0.90819,0.089119,-2.2828,9.804,-1.0261,25.3127,0.6,,,,,,,,
0.37412,-0.12905,-0.93439,0.092129,-2.1907,8.9411,-0.93725,23.0849,0.7,,,,,,,,
0.36306,-0.11059,-0.95349,0.094394,-2.0963,8.1357,-0.85384,21.0055,0.8,,,,,,,,
0.35359,-0.09477,-0.96618,0.095983,-2.0003,7.3911,-0.77634,19.0831,0.9,,,,,,,,
0.34546,-0.081212,-0.9732,0.096969,-1.9033,6.7081,-0.70496,17.3195,1,,,,,,,,
0.33851,-0.069593,-0.97527,0.097424,-1.8059,6.0854,-0.63967,15.7117,1.1,,,,,,,,
0.33254,-0.059637,-0.97309,0.097418,-1.7085,5.5205,-0.58029,14.2533,1.2,,,,,,,,
0.32743,-0.051105,-0.96731,0.09702,-1.6115,5.0101,-0.52653,12.9354,1.3,,,,,,,,
0.32305,-0.043794,-0.95852,0.096292,-1.5152,4.5501,-0.47801,11.7479,1.4,,,,,,,,
0.3193,-0.037528,-0.94729,0.095291,-1.4199,4.1366,-0.43434,10.6802,1.5,,,,,,,,
0.31608,-0.032159,-0.93408,0.094069,-1.3258,3.7652,-0.39509,9.7213,1.6,,,,,,,,
0.31333,-0.027558,-0.91933,0.092671,-1.2331,3.432,-0.35986,8.8609,1.7,,,,,,,,
0.31097,-0.023616,-0.90341,0.091137,-1.142,3.133,-0.32825,8.089,1.8,,,,,,,,
0.30894,-0.020237,-0.88663,0.089502,-1.0525,2.8648,-0.29989,7.3965,1.9,,,,,,,,
0.30721,-0.017342,-0.86926,0.087794,-0.9647,2.624,-0.27444,6.7748,2,,,,,,,,
0.30572,-0.014861,-0.85152,0.086039,-0.87866,2.4077,-0.25158,6.2163,2.1,,,,,,,,
