"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
6.2953,-5.0975,0.40888,-0.020444,-0.020444,1.0207,-0.10435,52.3657,-3,51.306,"0.47231","0.85815","0.0967","0.7","0.932818","0.750415",
5.7856,-5.0975,0.46856,-0.043872,-0.064316,1.0664,-0.10435,54.7143,-2.9,,,,,,,,
5.3178,-4.6783,0.45507,-0.046181,-0.1105,1.1168,-0.10916,57.3003,-2.8,,,,,,,,
4.8884,-4.2936,0.44094,-0.0448,-0.1553,1.168,-0.11424,59.9257,-2.7,,,,,,,,
4.4943,-3.9405,0.42613,-0.043353,-0.19865,1.2198,-0.11939,62.5809,-2.6,,,,,,,,
4.1327,-3.6165,0.41062,-0.041837,-0.24049,1.2719,-0.12458,65.2546,-2.5,,,,,,,,
3.8008,-3.319,0.39436,-0.040249,-0.28074,1.3241,-0.1298,67.9346,-2.4,,,,,,,,
3.4962,-3.0461,0.37733,-0.038584,-0.31932,1.3762,-0.13501,70.607,-2.3,,,,,,,,
3.2166,-2.7956,0.35948,-0.036841,-0.35616,1.4278,-0.1402,73.2568,-2.2,,,,,,,,
2.9601,-2.5657,0.34079,-0.035014,-0.39118,1.4787,-0.14533,75.8672,-2.1,,,,,,,,
2.7246,-2.3547,0.32122,-0.033101,-0.42428,1.5285,-0.15036,78.4205,-2,,,,,,,,
2.5085,-2.1611,0.30073,-0.031097,-0.45537,1.5768,-0.15526,80.8974,-1.9,,,,,,,,
2.3101,-1.9834,0.27929,-0.029001,-0.48437,1.6232,-0.16,83.2779,-1.8,,,,,,,,
2.1281,-1.8202,0.25688,-0.026809,-0.51118,1.6673,-0.16452,85.5406,-1.7,,,,,,,,
1.9611,-1.6706,0.23348,-0.024518,-0.5357,1.7086,-0.1688,87.6639,-1.6,,,,,,,,
1.8077,-1.5332,0.20909,-0.022128,-0.55783,1.7469,-0.17278,89.6254,-1.5,,,,,,,,
1.667,-1.4071,0.18372,-0.019641,-0.57747,1.7815,-0.17642,91.403,-1.4,,,,,,,,
1.5379,-1.2914,0.15746,-0.017059,-0.59453,1.8122,-0.17969,92.9757,-1.3,,,,,,,,
1.4194,-1.1852,0.13047,-0.014396,-0.60893,1.8385,-0.18253,94.3239,-1.2,,,,,,,,
1.3106,-1.0877,0.10318,-0.011682,-0.62061,1.8601,-0.18493,95.4323,-1.1,,,,,,,,
1.2108,-0.99827,0.076744,-0.008996,-0.6296,1.8769,-0.18685,96.2947,-1,,,,,,,,
1.1192,-0.91618,0.055555,-0.0066149,-0.63622,1.8893,-0.18831,96.9338,-0.9,,,,,,,,
1.0351,-0.84083,0.079612,-0.0067583,-0.64298,1.9021,-0.18957,97.5911,-0.8,,,,,,,,
0.95791,-0.77169,-0.1287,0.0024543,-0.64052,1.8975,-0.18998,97.3519,-0.7,,,,,,,,
0.88709,-0.70823,-0.10878,0.011874,-0.62865,1.8751,-0.18863,96.2027,-0.6,,,,,,,,
0.82209,-0.64998,-0.1358,0.012229,-0.61642,1.8523,-0.18637,95.0334,-0.5,,,,,,,,
0.76244,-0.59653,-0.17082,0.015331,-0.60109,1.8241,-0.18382,93.5875,-0.4,,,,,,,,
0.70769,-0.54748,-0.20948,0.019015,-0.58207,1.7897,-0.18069,91.8248,-0.3,,,,,,,,
0.65744,-0.50245,-0.25056,0.023002,-0.55907,1.749,-0.17694,89.7368,-0.2,,,,,,,,
0.61133,-0.46113,-0.29358,0.027207,-0.53187,1.7021,-0.17256,87.3282,-0.1,,,,,,,,
0.56901,-0.42321,-0.33829,0.031593,-0.50027,1.6492,-0.16756,84.6124,0,,,,,,,,
0.53017,-0.38841,-0.38451,0.03614,-0.46413,1.5906,-0.16199,81.6091,0.1,,,,,,,,
0.49452,-0.35647,-0.43211,0.040831,-0.4233,1.527,-0.15588,78.3441,0.2,,,,,,,,
0.46181,-0.32715,-0.48096,0.045653,-0.37765,1.4589,-0.14929,74.8478,0.3,,,,,,,,
0.43178,-0.30025,-0.53093,0.050595,-0.32705,1.3869,-0.14229,71.1551,0.4,,,,,,,,
