"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
1011.527,-2957.6414,2.3943,-0.11972,-0.11972,1.1272,-0.13233,0.16592,-3,0.1472,"0.03133","3.4606","0.48087","0.7","0.862074","0.811995",
715.7628,-2957.6414,3.5774,-0.29858,-0.4183,1.5194,-0.13233,0.22365,-2.9,,,,,,,,
506.5194,-2092.4343,3.5487,-0.3563,-0.7746,2.1697,-0.18446,0.31938,-2.8,,,,,,,,
358.4865,-1480.3287,3.5167,-0.35327,-1.1279,3.0891,-0.26294,0.45471,-2.7,,,,,,,,
253.7581,-1047.284,3.4809,-0.34988,-1.4777,4.3831,-0.37361,0.64518,-2.6,,,,,,,,
179.6662,-740.9191,3.4405,-0.34607,-1.8238,6.1955,-0.52893,0.91197,-2.5,,,,,,,,
127.2486,-524.176,3.3946,-0.34175,-2.1656,8.7196,-0.74575,1.2835,-2.4,,,,,,,,
90.1649,-370.8373,3.342,-0.33683,-2.5024,12.2117,-1.0466,1.7976,-2.3,,,,,,,,
63.9294,-262.3552,3.2812,-0.33116,-2.8336,17.0058,-1.4609,2.5032,-2.2,,,,,,,,
45.3686,-185.6077,3.2103,-0.32458,-3.1581,23.5265,-2.0266,3.4631,-2.1,,,,,,,,
32.2375,-131.3114,3.1271,-0.31687,-3.475,32.2979,-2.7912,4.7542,-2,,,,,,,,
22.9476,-92.8985,3.0286,-0.30778,-3.7828,43.9383,-3.8118,6.4677,-1.9,,,,,,,,
16.3754,-65.7226,2.9111,-0.29699,-4.0798,59.132,-5.1535,8.7042,-1.8,,,,,,,,
11.7257,-46.4966,2.7705,-0.28408,-4.3639,78.5592,-6.8846,11.5639,-1.7,,,,,,,,
8.4362,-32.8948,2.6017,-0.26861,-4.6325,102.7665,-9.0663,15.1272,-1.6,,,,,,,,
6.109,-23.272,2.3994,-0.25005,-4.8825,131.9619,-11.7364,19.4247,-1.5,,,,,,,,
4.4626,-16.4642,2.1587,-0.2279,-5.1104,165.7396,-14.8851,24.3967,-1.4,,,,,,,,
3.2978,-11.6479,1.8758,-0.20172,-5.3121,202.7837,-18.4262,29.8496,-1.3,,,,,,,,
2.4738,-8.2405,1.5501,-0.17129,-5.4834,240.671,-22.1727,35.4266,-1.2,,,,,,,,
1.8908,-5.8299,1.1858,-0.13679,-5.6202,275.9511,-25.8311,40.6198,-1.1,,,,,,,,
1.4783,-4.1244,0.79354,-0.098967,-5.7192,304.6583,-29.0305,44.8455,-1,,,,,,,,
1.1865,-2.9179,0.3869,-0.059022,-5.7782,323.1812,-31.392,47.572,-0.9,,,,,,,,
0.98011,-2.0643,0.14379,-0.026535,-5.8047,331.8715,-32.7526,48.8512,-0.8,,,,,,,,
0.83407,-1.4604,-0.30959,0.0082899,-5.7965,329.1317,-33.0502,48.4479,-0.7,,,,,,,,
0.73074,-1.0332,-0.60225,0.045592,-5.7509,314.4628,-32.1797,46.2887,-0.6,,,,,,,,
0.65765,-0.73097,-0.82399,0.071312,-5.6796,292.8188,-30.3641,43.1027,-0.5,,,,,,,,
0.60593,-0.51713,-0.97762,0.09008,-5.5895,267.5947,-28.0207,39.3897,-0.4,,,,,,,,
0.56935,-0.36586,-1.0711,0.10244,-5.487,241.5403,-25.4568,35.5546,-0.3,,,,,,,,
0.54347,-0.25883,-1.116,0.10935,-5.3777,216.5197,-22.903,31.8715,-0.2,,,,,,,,
0.52515,-0.18311,-1.1245,0.11202,-5.2657,193.5741,-20.5047,28.494,-0.1,,,,,,,,
0.5122,-0.12955,-1.1076,0.1116,-5.1541,173.1326,-18.3353,25.485,0,,,,,,,,
0.50303,-0.091651,-1.0744,0.1091,-5.045,155.2379,-16.4185,22.8509,0.1,,,,,,,,
0.49655,-0.06484,-1.0316,0.1053,-4.9397,139.7228,-14.748,20.5671,0.2,,,,,,,,
0.49196,-0.045872,-0.984,0.10078,-4.8389,126.3279,-13.3025,18.5954,0.3,,,,,,,,
0.48872,-0.032453,-0.93488,0.095944,-4.7429,114.7708,-12.0549,16.8942,0.4,,,,,,,,
0.48642,-0.022959,-0.8863,0.091059,-4.6519,104.7816,-10.9776,15.4238,0.5,,,,,,,,
0.4848,-0.016243,-0.83954,0.086292,-4.5656,96.1189,-10.045,14.1486,0.6,,,,,,,,
0.48365,-0.011491,-0.79531,0.081743,-4.4838,88.5744,-9.2347,13.0381,0.7,,,,,,,,
0.48284,-0.0081298,-0.75392,0.077462,-4.4064,81.9723,-8.5273,12.0663,0.8,,,,,,,,
0.48226,-0.0057516,-0.71549,0.073471,-4.3329,76.1657,-7.9069,11.2115,0.9,,,,,,,,
0.48185,-0.004069,-0.67995,0.069772,-4.2631,71.0326,-7.3599,10.456,1,,,,,,,,
0.48157,-0.0028787,-0.64716,0.066355,-4.1968,66.4722,-6.8752,9.7847,1.1,,,,,,,,
0.48136,-0.0020366,-0.61695,0.063206,-4.1336,62.4008,-6.4437,9.1854,1.2,,,,,,,,
0.48122,-0.0014408,-0.58912,0.060304,-4.0733,58.749,-6.0575,8.6478,1.3,,,,,,,,
0.48112,-0.0010193,-0.56346,0.057629,-4.0156,55.4591,-5.7104,8.1635,1.4,,,,,,,,
0.48104,-0.00072115,-0.53977,0.055161,-3.9605,52.4827,-5.3971,7.7254,1.5,,,,,,,,
0.48099,-0.00051019,-0.51787,0.052882,-3.9076,49.7794,-5.1131,7.3275,1.6,,,,,,,,
