"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
59.2678,-115.2188,1.4868,-0.074341,-0.074341,1.0772,-0.11777,2.6764,-3,2.4846,"0.08341","2.1854","0.57584","0.7","0.95007","0.736788",
47.7459,-115.2188,1.9368,-0.17118,-0.24552,1.2783,-0.11777,3.1761,-2.9,,,,,,,,
38.4859,-92.6001,1.9092,-0.1923,-0.43782,1.5493,-0.14138,3.8495,-2.8,,,,,,,,
31.0437,-74.4217,1.8784,-0.18938,-0.6272,1.8724,-0.17108,4.6521,-2.7,,,,,,,,
25.0626,-59.8119,1.8441,-0.18613,-0.81333,2.2554,-0.20639,5.6039,-2.6,,,,,,,,
20.2555,-48.0701,1.8057,-0.18249,-0.99582,2.7069,-0.24812,6.7258,-2.5,,,,,,,,
16.3922,-38.6334,1.7626,-0.17841,-1.1742,3.2357,-0.29713,8.0395,-2.4,,,,,,,,
13.2873,-31.0493,1.7141,-0.17383,-1.3481,3.85,-0.35428,9.5658,-2.3,,,,,,,,
10.7919,-24.954,1.6596,-0.16869,-1.5168,4.5574,-0.42037,11.3235,-2.2,,,,,,,,
8.7864,-20.0552,1.5983,-0.1629,-1.6797,5.3637,-0.49605,13.3268,-2.1,,,,,,,,
7.1745,-16.1182,1.5295,-0.15639,-1.836,6.2717,-0.58177,15.5828,-2,,,,,,,,
5.8791,-12.954,1.4524,-0.1491,-1.9851,7.28,-0.67758,18.0883,-1.9,,,,,,,,
4.838,-10.411,1.3665,-0.14095,-2.1261,8.382,-0.7831,20.8262,-1.8,,,,,,,,
4.0013,-8.3672,1.2714,-0.1319,-2.258,9.5638,-0.89729,23.7626,-1.7,,,,,,,,
3.3289,-6.7246,1.167,-0.12192,-2.3799,10.8039,-1.0184,26.8438,-1.6,,,,,,,,
2.7884,-5.4045,1.0537,-0.11104,-2.4909,12.0726,-1.1438,29.9962,-1.5,,,,,,,,
2.3541,-4.3435,0.93224,-0.099296,-2.5902,13.3329,-1.2703,33.1276,-1.4,,,,,,,,
2.005,-3.4909,0.80435,-0.08683,-2.6771,14.5424,-1.3938,36.1326,-1.3,,,,,,,,
1.7244,-2.8056,0.67237,-0.073836,-2.7509,15.6568,-1.51,38.9015,-1.2,,,,,,,,
1.4989,-2.2548,0.53965,-0.060601,-2.8115,16.6349,-1.6146,41.3319,-1.1,,,,,,,,
