"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
10.7921,-11.1539,0.6378,-0.03189,-0.03189,1.0324,-0.10693,12.3681,-3,11.9799,"0.38","1.11","0.17549","0.7","0.997615","0.701673",
9.6767,-11.1539,0.7438,-0.06908,-0.10097,1.1062,-0.10693,13.2527,-2.9,,,,,,,,
8.6785,-9.9821,0.72755,-0.073567,-0.17454,1.1907,-0.11485,14.2645,-2.8,,,,,,,,
7.7851,-8.9333,0.7103,-0.071893,-0.24643,1.2794,-0.12351,15.3277,-2.7,,,,,,,,
6.9857,-7.9948,0.69201,-0.070116,-0.31655,1.3724,-0.13259,16.441,-2.6,,,,,,,,
6.2702,-7.1548,0.67259,-0.06823,-0.38478,1.4693,-0.14208,17.6019,-2.5,,,,,,,,
5.6299,-6.4031,0.65197,-0.066228,-0.451,1.5699,-0.15196,18.8071,-2.4,,,,,,,,
5.0568,-5.7304,0.63008,-0.064103,-0.51511,1.6738,-0.16219,20.0522,-2.3,,,,,,,,
4.544,-5.1284,0.60683,-0.061846,-0.57695,1.7806,-0.17272,21.3315,-2.2,,,,,,,,
4.085,-4.5896,0.58215,-0.059449,-0.6364,1.8897,-0.18351,22.6381,-2.1,,,,,,,,
3.6743,-4.1074,0.55594,-0.056905,-0.69331,2.0003,-0.1945,23.9637,-2,,,,,,,,
3.3067,-3.6759,0.52812,-0.054203,-0.74751,2.1117,-0.2056,25.2984,-1.9,,,,,,,,
2.9777,-3.2897,0.4986,-0.051336,-0.79885,2.223,-0.21674,26.6311,-1.8,,,,,,,,
2.6833,-2.9441,0.46729,-0.048295,-0.84714,2.333,-0.2278,27.9488,-1.7,,,,,,,,
2.4198,-2.6348,0.43409,-0.045069,-0.89221,2.4405,-0.23867,29.2372,-1.6,,,,,,,,
2.184,-2.3579,0.39891,-0.04165,-0.93386,2.5443,-0.24924,30.4807,-1.5,,,,,,,,
1.973,-2.1102,0.36164,-0.038027,-0.97189,2.6429,-0.25936,31.6621,-1.4,,,,,,,,
1.7842,-1.8885,0.32215,-0.034189,-1.0061,2.7348,-0.26889,32.7633,-1.3,,,,,,,,
1.6152,-1.6901,0.28028,-0.030121,-1.0362,2.8185,-0.27767,33.7652,-1.2,,,,,,,,
1.4639,-1.5125,0.23575,-0.025801,-1.062,2.8921,-0.28553,34.6477,-1.1,,,,,,,,
1.3285,-1.3536,0.18795,-0.021185,-1.0832,2.9541,-0.29231,35.3895,-1,,,,,,,,
1.2074,-1.2114,0.13512,-0.016153,-1.0993,3.0022,-0.29781,35.9658,-0.9,,,,,,,,
1.099,-1.0841,0.068231,-0.010167,-1.1095,3.0329,-0.30175,36.3334,-0.8,,,,,,,,
1.002,-0.97024,2.1439,-0.11061,-1.2201,3.3876,-0.32102,40.5829,-0.7,,,,,,,,
0.91514,-0.86831,0.034568,-0.10893,-1.329,3.7774,-0.35825,45.2531,-0.6,,,,,,,,
0.83743,-0.77708,-0.036975,0.00012033,-1.3289,3.777,-0.37772,45.2476,-0.5,,,,,,,,
0.76788,-0.69544,-0.098751,0.0067863,-1.3221,3.7514,-0.37642,44.9416,-0.4,,,,,,,,
