"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
68.8838,-134.2993,1.559,-0.077952,-0.077952,1.0811,-0.11868,1.6647,-3,1.5399,"0.09572","2.19","0.6","0.7","1.07431","0.651583",
55.4538,-134.2993,2.0153,-0.17872,-0.25667,1.2926,-0.11868,1.9905,-2.9,,,,,,,,
44.6653,-107.8856,1.9919,-0.20036,-0.45703,1.5794,-0.1436,2.432,-2.8,,,,,,,,
35.9986,-86.6668,1.9657,-0.19788,-0.6549,1.925,-0.17522,2.9642,-2.7,,,,,,,,
29.0365,-69.6213,1.9364,-0.19511,-0.85001,2.3397,-0.21323,3.6028,-2.6,,,,,,,,
23.4436,-55.9283,1.9035,-0.192,-1.042,2.8349,-0.25873,4.3654,-2.5,,,,,,,,
18.9508,-44.9284,1.8665,-0.1885,-1.2305,3.423,-0.3129,5.271,-2.4,,,,,,,,
15.3416,-36.092,1.8247,-0.18456,-1.4151,4.1168,-0.37699,6.3393,-2.3,,,,,,,,
12.4422,-28.9935,1.7774,-0.1801,-1.5952,4.9292,-0.4523,7.5904,-2.2,,,,,,,,
10.1131,-23.2911,1.7239,-0.17507,-1.7702,5.8723,-0.54008,9.0426,-2.1,,,,,,,,
8.2421,-18.7102,1.6635,-0.16937,-1.9396,6.9561,-0.64142,10.7115,-2,,,,,,,,
6.7391,-15.0303,1.5954,-0.16294,-2.1026,8.1871,-0.75716,12.6072,-1.9,,,,,,,,
5.5316,-12.0742,1.5187,-0.15571,-2.2583,9.5665,-0.88768,14.7313,-1.8,,,,,,,,
4.5617,-9.6995,1.4331,-0.14759,-2.4059,11.088,-1.0327,17.0741,-1.7,,,,,,,,
3.7825,-7.7918,1.338,-0.13855,-2.5444,12.7357,-1.1912,19.6115,-1.6,,,,,,,,
3.1566,-6.2593,1.2334,-0.12857,-2.673,14.483,-1.3609,22.3021,-1.5,,,,,,,,
2.6538,-5.0282,1.1197,-0.11765,-2.7906,16.2913,-1.5387,25.0866,-1.4,,,,,,,,
2.2498,-4.0393,0.9979,-0.10588,-2.8965,18.1109,-1.7201,27.8885,-1.3,,,,,,,,
1.9253,-3.2449,0.86959,-0.093375,-2.9899,19.8834,-1.8997,30.618,-1.2,,,,,,,,
1.6647,-2.6067,0.73703,-0.080331,-3.0702,21.5466,-2.0715,33.1791,-1.1,,,,,,,,
1.4553,-2.094,0.60309,-0.067006,-3.1372,23.0398,-2.2293,35.4784,-1,,,,,,,,
1.2871,-1.6821,0.47123,-0.053716,-3.1909,24.3112,-2.3676,37.4363,-0.9,,,,,,,,
1.1519,-1.3513,0.34587,-0.040855,-3.2318,25.3251,-2.4818,38.9974,-0.8,,,,,,,,
1.0434,-1.0855,0.24108,-0.029347,-3.2611,26.0793,-2.5702,40.1589,-0.7,,,,,,,,
0.95618,-0.87203,0.084953,-0.016301,-3.2774,26.5079,-2.6294,40.8189,-0.6,,,,,,,,
0.88612,-0.70052,0.0014024,-0.0043178,-3.2818,26.6226,-2.6565,40.9955,-0.5,,,,,,,,
0.82985,-0.56274,-0.080488,0.0039543,-3.2778,26.5175,-2.657,40.8337,-0.4,,,,,,,,
0.78464,-0.45207,-0.15052,0.01155,-3.2663,26.213,-2.6365,40.3648,-0.3,,,,,,,,
0.74833,-0.36315,-0.20794,0.017923,-3.2483,25.7474,-2.598,39.6478,-0.2,,,,,,,,
0.71916,-0.29173,-0.25337,0.023066,-3.2253,25.1603,-2.5454,38.7438,-0.1,,,,,,,,
0.69572,-0.23435,-0.28795,0.027066,-3.1982,24.4884,-2.4824,37.7092,0,,,,,,,,
0.67689,-0.18826,-0.31306,0.03005,-3.1682,23.7635,-2.4126,36.5929,0.1,,,,,,,,
0.66177,-0.15123,-0.33013,0.032159,-3.136,23.0114,-2.3387,35.4348,0.2,,,,,,,,
0.64962,-0.12149,-0.34058,0.033536,-3.1025,22.2525,-2.2632,34.2661,0.3,,,,,,,,
0.63986,-0.097595,-0.34568,0.034313,-3.0681,21.5019,-2.1877,33.1103,0.4,,,,,,,,
0.63202,-0.0784,-0.34657,0.034613,-3.0335,20.7704,-2.1136,31.9839,0.5,,,,,,,,
0.62572,-0.062981,-0.34421,0.034539,-2.999,20.0653,-2.0418,30.8981,0.6,,,,,,,,
0.62066,-0.050594,-0.3394,0.03418,-2.9648,19.391,-1.9728,29.8598,0.7,,,,,,,,
0.6166,-0.040643,-0.33281,0.033611,-2.9312,18.7501,-1.9071,28.8729,0.8,,,,,,,,
0.61334,-0.032649,-0.32498,0.03289,-2.8983,18.1435,-1.8447,27.9387,0.9,,,,,,,,
0.61071,-0.026228,-0.31631,0.032064,-2.8662,17.5709,-1.7857,27.0571,1,,,,,,,,
0.60861,-0.021069,-0.30714,0.031172,-2.8351,17.0317,-1.7301,26.2266,1.1,,,,,,,,
0.60691,-0.016926,-0.29772,0.030243,-2.8048,16.5243,-1.6778,25.4454,1.2,,,,,,,,
0.60555,-0.013597,-0.28823,0.029297,-2.7755,16.0472,-1.6286,24.7107,1.3,,,,,,,,
0.60446,-0.010923,-0.27883,0.028353,-2.7472,15.5986,-1.5823,24.0199,1.4,,,,,,,,
0.60358,-0.0087743,-0.2696,0.027421,-2.7198,15.1767,-1.5388,23.3702,1.5,,,,,,,,
0.60288,-0.0070486,-0.26063,0.026511,-2.6932,14.7796,-1.4978,22.7588,1.6,,,,,,,,
0.60231,-0.0056623,-0.25195,0.025629,-2.6676,14.4056,-1.4593,22.1829,1.7,,,,,,,,
0.60186,-0.0045486,-0.24361,0.024778,-2.6428,14.0531,-1.4229,21.64,1.8,,,,,,,,
0.60149,-0.003654,-0.23562,0.023962,-2.6189,13.7203,-1.3887,21.1276,1.9,,,,,,,,
0.6012,-0.0029353,-0.22798,0.02318,-2.5957,13.406,-1.3563,20.6435,2,,,,,,,,
0.60096,-0.002358,-0.2207,0.022434,-2.5733,13.1086,-1.3257,20.1855,2.1,,,,,,,,
0.60077,-0.0018943,-0.21376,0.021723,-2.5515,12.8269,-1.2968,19.7518,2.2,,,,,,,,
0.60062,-0.0015217,-0.20717,0.021047,-2.5305,12.5597,-1.2693,19.3404,2.3,,,,,,,,
0.6005,-0.0012224,-0.2009,0.020403,-2.5101,12.3061,-1.2433,18.9498,2.4,,,,,,,,
0.6004,-0.00098199,-0.19494,0.019792,-2.4903,12.0649,-1.2185,18.5784,2.5,,,,,,,,
0.60032,-0.00078885,-0.18928,0.019211,-2.4711,11.8353,-1.195,18.2249,2.6,,,,,,,,
0.60026,-0.0006337,-0.1839,0.018659,-2.4524,11.6165,-1.1726,17.888,2.7,,,,,,,,
0.60021,-0.00050907,-0.17878,0.018134,-2.4343,11.4078,-1.1512,17.5666,2.8,,,,,,,,
0.60017,-0.00040895,-0.17392,0.017635,-2.4167,11.2084,-1.1308,17.2595,2.9,,,,,,,,
0.60013,-0.00032851,-0.1693,0.017161,-2.3995,11.0177,-1.1113,16.9658,3,,,,,,,,
0.60011,-0.0002639,-0.1649,0.01671,-2.3828,10.8351,-1.0926,16.6847,3.1,,,,,,,,
0.60009,-0.000212,-0.16071,0.01628,-2.3665,10.6601,-1.0748,16.4153,3.2,,,,,,,,
0.60007,-0.0001703,-0.15671,0.015871,-2.3506,10.4923,-1.0576,16.1568,3.3,,,,,,,,
0.60006,-0.00013681,-0.1529,0.015481,-2.3352,10.3311,-1.0412,15.9086,3.4,,,,,,,,
0.60004,-0.0001099,-0.14926,0.015108,-2.3201,10.1762,-1.0254,15.6701,3.5,,,,,,,,
0.60004,-8.8286e-05,-0.14579,0.014753,-2.3053,10.0272,-1.0102,15.4406,3.6,,,,,,,,
0.60003,-7.0922e-05,-0.14247,0.014413,-2.2909,9.8837,-0.99554,15.2196,3.7,,,,,,,,
0.60002,-5.6973e-05,-0.13929,0.014088,-2.2768,9.7454,-0.98145,15.0067,3.8,,,,,,,,
0.60002,-4.5768e-05,-0.13625,0.013777,-2.263,9.6121,-0.96787,14.8014,3.9,,,,,,,,
0.60002,-3.6766e-05,-0.13334,0.013479,-2.2495,9.4834,-0.95477,14.6032,4,,,,,,,,
0.60001,-2.9535e-05,-0.13054,0.013194,-2.2363,9.3591,-0.94212,14.4118,4.1,,,,,,,,
