"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
533.7264,-577.885,0.88449,-0.22112,-0.22112,1.2475,0.97575,0.00026042,-5,0.00026689,"0.218696","1.55992","0.203333","0.7","1.14696","0.610308",
244.7838,-577.885,2.1376,-0.75551,-0.97664,2.6555,0.97575,0.00026042,-4.5,,,,,,,,
112.3253,-264.9172,2.1036,-1.0603,-2.0369,7.6669,2.5806,0.00068874,-4,,,,,,,,
51.6029,-121.4448,2.0576,-1.0403,-3.0772,21.6976,7.3411,0.0019593,-3.5,,,,,,,,
23.7662,-55.6734,1.9931,-1.0127,-4.0899,59.7316,20.3573,0.0054332,-3,,,,,,,,
11.0051,-25.5221,1.8996,-0.97317,-5.063,158.0697,54.4503,0.014532,-2.5,,,,,,,,
5.1552,-11.7,1.7639,-0.91588,-5.9789,395.0131,138.2707,0.036903,-2,,,,,,,,
2.4734,-5.3636,1.5848,-0.83716,-6.8161,912.4014,326.8536,0.087234,-1.5,,,,,,,,
1.244,-2.4588,1.5378,-0.78063,-7.5967,1991.6316,726.0083,0.19376,-1,,,,,,,,
0.68039,-1.1272,-2.0562,0.1296,-7.4671,1749.5366,935.2921,0.24962,-0.5,,,,,,,,
0.42203,-0.51673,-0.73206,0.69706,-6.77,871.3551,655.2229,0.17487,0,,,,,,,,
0.30359,-0.23688,-1.021,0.43827,-6.3318,562.1534,358.3771,0.095648,0.5,,,,,,,,
0.24929,-0.10859,-1.1948,0.55397,-5.7778,323.0494,221.3007,0.059063,1,,,,,,,,
0.2244,-0.049781,-1.2061,0.60024,-5.1776,177.251,125.0751,0.033381,1.5,,,,,,,,
0.21299,-0.022821,-1.127,0.58329,-4.5943,98.9169,69.042,0.018427,2,,,,,,,,
0.20776,-0.010462,-1.0186,0.5364,-4.0579,57.8518,39.1922,0.01046,2.5,,,,,,,,
0.20536,-0.0047959,-0.91109,0.48241,-3.5755,35.7115,23.3908,0.0062428,3,,,,,,,,
0.20426,-0.0021986,-0.81557,0.43167,-3.1438,23.192,14.7259,0.0039302,3.5,,,,,,,,
0.20376,-0.0010079,-0.73406,0.38741,-2.7564,15.743,9.7338,0.0025978,4,,,,,,,,
0.20353,-0.00046204,-0.66538,0.34986,-2.4065,11.0955,6.7096,0.0017907,4.5,,,,,,,,
0.20342,-0.00021181,-0.6075,0.31822,-2.0883,8.0713,4.7917,0.0012789,5,,,,,,,,
0.20337,-9.7099e-05,-0.55844,0.29149,-1.7968,6.0305,3.5255,0.00094091,5.5,,,,,,,,
0.20335,-4.4513e-05,-0.51649,0.26873,-1.5281,4.6094,2.66,0.00070992,6,,,,,,,,

