"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
440.6293,-556.9353,1.0844,-0.27111,-0.27111,1.3114,1.2926,2.8816e-06,-5,2.2292e-06,"0.02","2","0.1","0.7","1.25157","0.559297",
162.1617,-556.9353,3.2329,-1.0793,-1.3505,3.8592,1.2926,2.8816e-06,-4.5,,,,,,,,
59.7192,-204.885,3.2025,-1.6089,-2.9593,19.2846,5.786,1.2898e-05,-4,,,,,,,,
22.0327,-75.373,3.1616,-1.591,-4.5503,94.6634,28.487,6.3504e-05,-3.5,,,,,,,,
8.1686,-27.7282,3.1072,-1.5672,-6.1175,453.7414,137.1012,0.00030563,-3,,,,,,,,
3.0683,-10.2006,3.047,-1.5386,-7.6561,2113.4738,641.8038,0.0014307,-2.5,,,,,,,,
1.192,-3.7526,3.0589,-1.5265,-9.1826,9726.2326,2959.9266,0.0065984,-2,,,,,,,,
0.50171,-1.3805,3.5952,-1.6635,-10.8461,51333.9104,15265.0357,0.034029,-1.5,,,,,,,,
0.24778,-0.50786,7.5536,-2.7872,-13.6333,833419.0759,221188.2466,0.49308,-1,,,,,,,,
0.15437,-0.18683,-72.6045,16.2627,2.6295,0.072118,208354.787,0.46447,-0.5,,,,,,,,
0.12,-0.068731,-9.9034,20.627,23.2564,7.9406e-11,0.01803,4.0192e-08,0,,,,,,,,
0.10736,-0.025285,-6.036,3.9849,27.2413,1.4766e-12,2.0221e-11,4.5077e-17,0.5,,,,,,,,
0.10271,-0.0093018,-4.3861,2.6055,29.8468,1.0907e-13,3.9641e-13,8.8369e-19,1,,,,,,,,
0.101,-0.0034219,-3.4198,1.9515,31.7983,1.5495e-14,3.1141e-14,6.942e-20,1.5,,,,,,,,
0.10037,-0.0012589,-2.7858,1.5514,33.3497,3.2841e-15,4.6947e-15,1.0466e-20,2,,,,,,,,
0.10013,-0.00046311,-2.3424,1.282,34.6317,9.1123e-16,1.0488e-15,2.3381e-21,2.5,,,,,,,,
0.10005,-0.00017037,-2.0175,1.09,35.7217,3.0638e-16,3.044e-16,6.7859e-22,3,,,,,,,,
0.10002,-6.2675e-05,-1.7705,0.947,36.6687,1.1885e-16,1.0631e-16,2.3698e-22,3.5,,,,,,,,
0.10001,-2.3057e-05,-1.5769,0.83684,37.5055,5.1469e-17,4.2579e-17,9.4918e-23,4,,,,,,,,
0.1,-8.4821e-06,-1.4212,0.74952,38.2551,2.4324e-17,1.8948e-17,4.224e-23,4.5,,,,,,,,
0.1,-3.1204e-06,-1.2935,0.67867,38.9337,1.2339e-17,9.1659e-18,2.0433e-23,5,,,,,,,,
0.1,-1.1479e-06,-1.1867,0.62005,39.5538,6.6376e-18,4.7442e-18,1.0576e-23,5.5,,,,,,,,
0.1,-4.223e-07,-1.0963,0.57076,40.1245,3.7509e-18,2.5971e-18,5.7896e-24,6,,,,,,,,

