coarse_1,fines_1,coarse_10,fines_10,coarse_12,fines_12,coarser_14,full_15,coarse_16,fines_16,coarse_2,fines_2,coarse_3,fines_3,coarse_4,fines_4,coarse_6,fines_6,coarse_8,fines_8
665702.27420854,665702.27420854,666495.926085849,666495.926085849,666866.753632694,666866.753632694,667652.213540889,667522.49299705,667394.69252705,667394.69252705,665832.06606874,665832.06606874,665956.054746896,665956.054746896,666024.870807712,666024.870807712,666190.695682819,666190.695682819,666283.475632627,666283.475632627
40,60,30,70,40,60,20,100,20,80,40,60,40,60,50,50,50,50,50,60
1,3,1,2,6,6,46,8,44,3,2,8,5,2,1,8,55,2,29,1
7,7,1,8,2,52,46,75,5,46,63,7,7,44,1,46,7,45,2,9
2,17,72,2,36,6,3,2,28,35,2,1,2,3,2,36,44,5,37,29
14,2,1,46,1,3,40,2,3,28,6,2,58,2,53,24,81,2,87,20
1,4,8,1,50,8,1,3,28,65,1,3,9,1,146,26,19,55,4,3
7,9,2,1,3,19,2,7,1,88,5,1,50,2,5,76,54,9,45,23
85,9,2,1,1,2,50,3,8,38,1,5,2,4,2,30,44,2,52,38
1,1,6,3,5,30,2,2,2,65,2,8,4,6,9,58,34,2,25,2
6,26,59,60,33,9,2,9,46,52,87,2,7,2,3,9,36,38,53,24
9,7,7,56,3,47,72,26,34,64,6,2,44,35,92,7,25,6,25,5
3,3,2,3,9,3,52,2,2,1,9,6,8,2,8,5,7,34,2,22
53,7,9,2,7,5,52,2,6,80,86,5,8,26,25,66,20,2,8,40
2,40,28,3,70,58,1,1,37,1,36,4,99,2,23,38,65,7,80,8
6,1,3,56,50,1,1,3,9,30,7,2,79,3,78,65,8,3,6,22
74,1,4,35,5,2,2,1,2,4,1,2,55,5,33,56,5,1,38,6
7,2,30,56,62,56,87,7,70,73,3,82,84,4,3,3,2,36,2,3
1,2,9,90,62,8,44,1,90,55,89,1,26,54,60,8,58,36,54,44
73,2,70,8,31,24,1,1,3,2,54,55,44,43,5,8,63,36,4,9
2,7,6,8,33,4,2,36,58,35,2,78,23,5,44,28,2,1,7,55
20,5,8,1,50,5,26,6,92,77,25,2,93,4,4,65,1,62,1,53
1,74,50,14,81,2,35,1,6,82,22,3,74,2,95,60,6,2,4,3
59,1,5,3,3,7,2,4,92,74,5,2,8,60,8,7,2,2,40,88
56,2,7,5,8,30,1,1,77,66,63,3,5,5,53,40,4,38,1,43
2,1,2,22,1,27,40,6,35,57,7,56,1,4,76,3,70,32,70,6
