X1_1,X2_1,coarse_2,coarse_3,fines_3,coarse_4,fines_4,coarse_5,fines_5,coarse_6,fines_6
666537.94586788,666537.94586788,666727.64126757,666925.214562938,666925.214562938,667126.56437443,667126.56437443,667334.558384932,667334.558384932,667528.804652696,667528.804652696
50,50,50,40,60,60,40,30,70,20,80
36,6,2,5,88,25,7,7,55,2,8
6,70,86,43,80,2,28,60,30,32,6
36,82,53,14,56,53,66,22,42,74,4
79,25,25,8,80,36,50,66,80,240,1
36,256,20,3,63,73,28,50,34,48,24
37,32,70,56,92,39,64,90,20,30,58
26,30,6,53,46,59,20,22,33,28,59
20,53,72,26,50,84,33,50,73,66,56
40,200,133,72,76,56,7,23,6,25,4
35,53,2,22,36,54,54,50,38,35,7
75,26,26,8,55,44,23,70,82,44,56
32,48,59,154,84,5,48,38,32,3,6
9,85,2,34,10,18,5,70,74,32,5
47,45,24,154,15,85,28,58,72,146,83
152,55,6,86,6,32,40,138,73,1,7
137,4,142,73,72,5,22,46,36,4,78
75,3,70,90,26,5,36,70,8,56,5
67,45,6,38,9,223,46,20,87,2,32
34,20,223,52,44,65,8,206,64,64,25
47,50,4,64,109,39,90,2,8,18,38
112,7,52,37,30,2,38,111,54,2,76
11,12,46,138,53,5,3,12,36,83,1
160,46,89,16,63,67,42,18,97,3,50
22,7,5,20,12,3,95,133,16,142,8
19,121,14,107,115,36,16,45,23,25,1
62,20,360,17,12,66,35,10,38,62,55
67,11,7,30,105,80,102,133,23,25,1
130,11,99,28,82,6,19,43,42,6,30
18,43,8,41,52,46,81,28,73,24,53
18,135,5,148,48,8,61,157,22,188,37
14,43,15,37,31,307,10,230,24,107,17
320,14,22,14,18,90,28,14,47,204,100
114,105,82,27,11,99,65,32,14,162,42
97,122,19,26,130,197,115,38,56,137,134
19,117,156,14,79,161,12,115,45,170,72
67,36,15,24,119,77,26,145,19,119,101
28,165,65,123,132,17,18,114,92,117,12
52,17,47,42,142,14,25,27,24,11,22
122,65,112,12,118,46,42,21,85,31,15
35,14,42,23,75,102,71,11,14,139,71
210,63,178,14,16,12,53,18,109,164,115
63,99,20,266,51,32,36,10,27,25,56
15,67,97,12,130,22,17,79,18,16,52
76,145,160,18,97,84,125,77,20,50,71
47,95,52,128,78,12,18,59,105,33,15
100,21,31,230,109,43,62,94,40,159,52
28,33,35,22,93,136,18,171,12,219,110
45,16,212,32,64,14,40,21,72,22,44
111,65,125,97,32,37,35,15,45,32,137
75,100,53,29,44,38,27,28,15,152,63
72,60,130,32,52,81,183,130,23,12,16
102,52,95,54,130,176,22,196,143,93,61
38,75,18,221,80,11,101,85,58,52,72
52,44,146,63,136,38,37,31,81,111,13
61,130,24,22,36,18,78,11,80,59,122
40,81,107,93,92,38,43,188,12,98,127
39,65,17,185,166,187,75,42,22,48,80
32,101,55,11,56,111,13,129,16,91,18
67,124,80,21,93,12,21,19,71,33,61
70,94,103,127,55,131,51,102,42,95,42
102,229,123,48,105,135,52,261,86,33,55
35,81,167,62,53,51,12,71,111,95,80
33,131,27,250,55,82,97,42,16,39,67
75,36,160,39,76,18,52,210,21,21,187
175,97,210,134,80,89,12,14,37,16,110
152,134,103,172,64,184,128,100,24,120,38
92,61,153,136,92,120,53,80,106,107,58
44,14,21,43,69,61,27,38,49,33,67
62,53,197,53,71,42,48,125,151,63,62
122,125,57,73,37,64,53,136,27,16,101
211,136,43,26,55,62,61,75,37,14,89
53,80,122,25,15,12,53,15,14,38,188
77,89,12,53,85,78,62,10,56,32,14
68,123,123,96,180,114,77,60,27,95,137
76,50,152,114,62,29,105,157,63,113,122
205,80,98,119,100,53,12,215,12,53,70
42,52,34,14,17,24,31,135,52,15,101
67,255,48,12,71,44,68,73,73,10,27
60,64,245,192,113,41,85,62,53,77,96
56,157,78,128,14,35,115,36,10,35,142
42,138,30,31,126,242,42,22,80,255,81
22,112,10,48,91,25,89,19,92,32,48
222,51,307,187,93,116,27,122,36,34,80
101,81,112,12,19,68,102,11,67,11,74
69,49,26,79,44,43,109,148,81,67,11
17,21,90,75,95,127,132,143,108,132,139
95,132,143,184,95,63,18,79,28,91,52
192,107,34,265,154,152,55,27,86,217,60
92,68,171,18,92,33,43,102,107,152,23
72,42,11,70,120,59,37,130,59,228,152
40,38,62,74,130,67,43,173,80,42,660
28,11,48,149,44,64,81,90,96,118,122
63,135,47,130,79,61,30,13,51,193,150
49,40,106,120,80,223,89,35,11,162,17
16,49,13,150,92,55,65,194,74,24,31
308,92,14,22,80,71,73,160,78,165,123
148,64,145,24,15,96,21,135,32,143,32
257,96,220,82,120,73,71,153,22,97,23
137,32,46,49,87,129,85,122,22,35,60
67,82,105,280,67,64,57,17,55,3753,43
0,0,0,0,0,96,0,0,0,0,168
0,0,0,0,0,143,0,0,0,0,45
0,0,0,0,0,60,0,0,0,0,22
0,0,0,0,0,67,0,0,0,0,68
0,0,0,0,0,84,0,0,0,0,17
0,0,0,0,0,115,0,0,0,0,25
0,0,0,0,0,44,0,0,0,0,43
0,0,0,0,0,85,0,0,0,0,27
0,0,0,0,0,71,0,0,0,0,43
0,0,0,0,0,29,0,0,0,0,24
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
