full_1,full_10,full_11,coarse_12,fines_12,coarse_13,fines_13,coarse_14,fines_14,coarse_15,fines_15,coarse_sam_16,coarse_stephen_16,fines_sam_16,fines_stephen_16,coarse_17,fines_17,coarse_18,fines_18,coarse_19,fines_19,coarse_2,fines_2,coarse_20,fines_20,coarse_3,fines_3,coarse_4,fines_4,coarse_5,fines_sam_5,fines_stephen_5,fines_stephen_2_5,coarse_6,fines_6,coarse_7,fines_7,full_8,coarse_9,fines_9
1568.78990759189,1641.90135118033,2341.03990520118,2241.8207611889,2241.8207611889,2143.67011913065,2143.67011913065,2036.12077994874,2036.12077994874,1942.93008445354,1942.93008445354,1837.60442435265,1837.60442435265,1837.60442435265,1837.60442435265,1737.32655699889,1737.32655699889,1639.16601834136,1639.16601834136,1533.86229560309,1533.86229560309,1470.87136806295,1470.87136806295,1427.16423439564,1427.16423439564,1368.48184071681,1368.48184071681,1266.16238734016,1266.16238734016,1167.72831023553,1167.72831023553,1167.72831023553,1167.72831023553,1067.77786247909,1067.77786247909,965.720365283017,965.720365283017,864.633307245707,797.681461455971,797.681461455971
100,100,100,10,90,20,80,40,60,50,50,30,30,70,70,20,80,50,50,20,80,50,50,20,80,40,60,20,80,15,85,85,85,25,75,15,85,100,30,70
66,2,3,48,18,8,20,2,25,146,10,73,30,38,82,33,2,46,20,60,7,75,5,55,90,72,3,9,7,15,89,6,24,34,30,56,25,63,7,5
46,53,3,34,53,7,86,9,4,99,28,90,5,65,9,33,46,80,80,53,96,73,1,70,23,70,59,66,92,83,9,72,4,72,86,60,8,52,45,4
35,6,1,42,3,2,34,46,86,35,58,25,72,53,35,67,79,78,52,20,23,27,70,55,5,4,28,4,40,82,66,21,64,46,6,21,30,86,43,44
41,32,23,57,3,66,37,26,3,45,36,34,36,78,73,4,7,35,85,43,33,35,2,60,8,79,30,46,22,8,46,9,8,6,60,82,50,36,45,3
9,71,2,42,8,260,79,1,70,47,36,58,28,85,42,50,85,74,20,71,34,58,7,108,86,53,44,2,6,9,60,30,9,34,82,92,24,82,28,5
68,56,1,35,71,33,54,6,5,63,38,8,64,38,22,9,8,36,84,35,49,68,5,76,23,8,3,42,36,80,85,5,6,70,83,73,70,7,31,4
53,80,1,29,35,57,6,23,30,63,30,24,35,46,106,96,51,33,35,30,47,23,25,36,12,30,28,5,3,20,3,7,76,23,60,52,22,40,35,8
2,9,4,28,6,33,70,22,3,53,97,25,9,93,69,54,38,40,30,220,50,36,30,33,156,1,34,42,6,78,30,47,235,65,8,68,8,34,58,6
24,65,5,6,30,45,38,2,47,33,25,36,10,70,45,8,83,98,58,45,52,52,20,73,30,50,40,40,49,27,56,45,35,5,13,77,48,9,80,2
7,86,7,56,3,96,66,2,6,27,4,46,136,55,12,56,38,69,22,2,28,7,7,22,78,4,35,13,2,126,38,34,36,5,25,20,66,23,52,30
6,30,22,43,23,36,80,76,30,99,58,34,17,68,12,6,35,75,39,60,7,50,34,44,25,79,30,7,30,7,83,75,94,53,60,66,40,44,100,34
40,40,2,60,14,3,23,60,66,4,20,64,128,60,46,4,96,63,22,26,82,85,1,22,62,28,35,75,7,25,54,5,65,5,9,26,5,70,66,22
23,43,4,28,23,52,59,1,28,58,35,53,27,66,29,75,7,6,7,2,37,89,107,35,30,53,59,23,33,58,53,96,65,40,51,83,70,50,20,66
3,32,6,46,36,3,24,40,70,76,206,86,25,80,58,30,82,33,22,64,53,6,7,90,26,2,30,80,9,44,30,17,43,5,43,146,60,89,68,44
63,56,8,54,6,48,9,54,25,73,33,75,77,73,54,4,28,5,48,2,62,66,46,52,54,33,33,24,35,60,23,112,18,50,128,68,52,5,3,30
4,54,3,44,2,83,30,1,96,66,23,40,204,30,35,20,7,57,73,53,33,36,25,33,2,55,9,0,3,28,78,18,28,6,52,60,31,45,79,1
73,36,2,43,10,2,35,1,2,33,56,55,55,50,63,3,28,103,88,33,70,57,2,35,9,3,36,8,9,54,74,88,20,66,27,40,7,6,96,33
24,25,2,72,44,37,72,8,115,72,30,40,123,99,50,75,23,5,8,5,36,36,70,33,28,0,8,46,58,4,86,18,36,63,33,80,4,65,53,1
80,69,2,6,22,9,66,20,58,45,38,73,33,53,62,58,46,8,8,45,50,97,62,260,6,74,46,68,72,57,72,237,24,20,35,47,30,53,40,203
