"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV",
273.3383,-283.0813,0.80329,-0.20082,-0.20082,1.2224,0.9042,0.0006194,-5,0.00068503,0.00062074,0.0074438,"0.183767","1.46078","0.241103",56.946,39.8965,-5,0,"0.7","0.997615","0.701673",
131.7976,-283.0813,1.8859,-0.67231,-0.87313,2.3944,0.9042,0.0006194,-4.5,,0.00062074,,,,,59.8119,39.7708,-4.5,0,,,,
63.6146,-136.3661,1.8445,-0.93261,-1.8057,6.0845,2.1197,0.0014521,-4,,0.0014552,,,,,61.286,40.0201,-4,0,,,,
30.7694,-65.6903,1.7884,-0.90821,-2.714,15.0889,5.2933,0.0036261,-3.5,,0.0036339,,,,,60.949,40.8747,-3.5,0,,,,
14.9472,-31.6444,1.7101,-0.87462,-3.5886,36.1825,12.8179,0.0087806,-3,,0.0087995,,,,,53.615,39.5685,-3,0,,,,
7.3253,-15.2437,1.5997,-0.82744,-4.416,82.7661,29.7372,0.020371,-2.5,,0.020415,,,,,55.835,44.9257,-2.5,0,,,,
3.6537,-7.3432,1.449,-0.76217,-5.1782,177.3617,65.0319,0.044549,-2,,0.042148,,,,,58.46,39.2084,-2,0.0024969,,,,
1.885,-3.5374,1.287,-0.68402,-5.8622,351.5009,132.2156,0.090571,-1.5,,-0.038447,,,,,57.11,47.7574,-1.5,0.12921,,,,
1.033,-1.704,1.5422,-0.70731,-6.5695,713.0255,266.1316,0.18231,-1,,-0.047637,,,,,56.85,33.8284,-1,0.23034,,,,
0.62258,-0.82087,-1.6946,0.038107,-6.5314,686.3658,349.8478,0.23966,-0.5,,0.031682,,,,,49.4412,34.2758,-0.5,0.20849,,,,
0.42487,-0.39543,-1.0031,0.67442,-5.857,349.6687,259.0086,0.17743,0,,0.00053144,,,,,,,0,0.17728,,,,
0.32963,-0.19049,-1.1186,0.53042,-5.3266,205.7305,138.8498,0.095116,0.5,,-0.015791,,,,,,,0.5,0.11111,,,,
0.28375,-0.091761,-1.1636,0.57054,-4.756,116.2836,80.5035,0.055147,1,,-0.0071562,,,,,,,1,0.062422,,,,
0.26165,-0.044203,-1.1159,0.56986,-4.1862,65.7708,45.5136,0.031178,1.5,,0.0012826,,,,,,,1.5,0.029963,,,,
0.251,-0.021294,-1.0223,0.53455,-3.6516,38.5373,26.077,0.017863,2,,-0.0095637,,,,,,,2,0.027466,,,,
0.24587,-0.010258,-0.91857,0.48523,-3.1664,23.7219,15.5648,0.010662,2.5,,7.3528e-05,,,,,,,2.5,0.010612,,,,
0.2434,-0.0049413,-0.82146,0.43501,-2.7314,15.3543,9.769,0.0066921,3,,0.0023369,,,,,,,3,0.0043695,,,,
0.24221,-0.0023803,-0.73658,0.38951,-2.3419,10.4008,6.4388,0.0044107,3.5,,0.0012991,,,,,,,3.5,0.0031211,,,,
0.24164,-0.0011466,-0.66437,0.35024,-1.9916,7.3276,4.4321,0.0030361,4,,0.00117,,,,,,,4,0.0018727,,,,
0.24136,-0.00055236,-0.60342,0.31695,-1.6747,5.3372,3.1662,0.0021689,4.5,,0.00092516,,,,,,,4.5,0.0012484,,,,
0.24123,-0.00026608,-0.55189,0.28883,-1.3859,3.9983,2.3339,0.0015988,5,,0.0016022,,,,,,,5,0,,,,
0.24116,-0.00012818,-0.50806,0.26499,-1.1209,3.0676,1.7665,0.0012101,5.5,,,,,,,,,,,,,,
0.24113,-6.1746e-05,-0.47047,0.24463,-0.87625,2.4019,1.3674,0.00093668,6,,,,,,,,,,,,,,

